country,province,date,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered,people_vaccinated,people_fully_vaccinated,daily_vaccinations
Netherlands,,2020-01-22,-44,0,0,,,,,,,,,
Netherlands,,2020-01-23,-43,0,0,,,,,,,,,
Netherlands,,2020-01-24,-42,0,0,,,,,,,,,
Netherlands,,2020-01-25,-41,0,0,,,,,,,,,
Netherlands,,2020-01-26,-40,0,0,,,,,,,,,
Netherlands,,2020-01-27,-39,0,0,,,,,,,,,
Netherlands,,2020-01-28,-38,0,0,,,,,,,,,
Netherlands,,2020-01-29,-37,0,0,,,,,,,,,
Netherlands,,2020-01-30,-36,0,0,,,,,,,,,
Netherlands,,2020-01-31,-35,0,0,,,,,,,,,
Netherlands,,2020-02-01,-34,0,0,,,,,,,,,
Netherlands,,2020-02-02,-33,0,0,,,,,,,,,
Netherlands,,2020-02-03,-32,0,0,,,,,,,,,
Netherlands,,2020-02-04,-31,0,0,,,,,,,,,
Netherlands,,2020-02-05,-30,0,0,,,,,,,,,
Netherlands,,2020-02-06,-29,0,0,,,,,,,,,
Netherlands,,2020-02-07,-28,0,0,,,,,,,,,
Netherlands,,2020-02-08,-27,0,0,,,,,,,,,
Netherlands,,2020-02-09,-26,0,0,,,,,,,,,
Netherlands,,2020-02-10,-25,0,0,,,,,,,,,
Netherlands,,2020-02-11,-24,0,0,,,,,,,,,
Netherlands,,2020-02-12,-23,0,0,,,,,,,,,
Netherlands,,2020-02-13,-22,0,0,,,,,,,,,
Netherlands,,2020-02-14,-21,0,0,,,,,,,,,
Netherlands,,2020-02-15,-20,0,0,,,,,,,,,
Netherlands,,2020-02-16,-19,0,0,,,,,,,,,
Netherlands,,2020-02-17,-18,0,0,,,,,,,,,
Netherlands,,2020-02-18,-17,0,0,,,,,,,,,
Netherlands,,2020-02-19,-16,0,0,,,,,,,,,
Netherlands,,2020-02-20,-15,0,0,,,,,,,,,
Netherlands,,2020-02-21,-14,0,0,,,,,,,,,
Netherlands,,2020-02-22,-13,0,0,,,,,,,,,
Netherlands,,2020-02-23,-12,0,0,,,,,,,,,
Netherlands,,2020-02-24,-11,0,0,,,,,,,,,
Netherlands,,2020-02-25,-10,0,0,,,,,,,,,
Netherlands,,2020-02-26,-9,0,0,,,,,,,,,
Netherlands,,2020-02-27,-8,1,0,,,,,,,,,
Netherlands,,2020-02-28,-7,1,0,,,,,,,,,
Netherlands,,2020-02-29,-6,6,0,,,,,,,,,
Netherlands,,2020-03-01,-5,10,0,,,,,,,,,
Netherlands,,2020-03-02,-4,18,0,,,,,,,,,
Netherlands,,2020-03-03,-3,24,0,,,,,,,,,
Netherlands,,2020-03-04,-2,38,0,,,,,,,,,
Netherlands,,2020-03-05,-1,82,0,,,,,,,,,
Netherlands,,2020-03-06,0,128,1,,,,,,,,,
Netherlands,,2020-03-07,1,188,1,,,,,,,,,
Netherlands,,2020-03-08,2,265,3,,,,,,,,,
Netherlands,,2020-03-09,3,321,3,,,,,,,,,
Netherlands,,2020-03-10,4,382,4,,,,,,,,,
Netherlands,,2020-03-11,5,503,5,,,,,,,,,
Netherlands,,2020-03-12,6,503,5,,,,,,,,,
Netherlands,,2020-03-13,7,804,10,,,,,,,,,
Netherlands,,2020-03-14,8,959,12,,,,,,,,,
Netherlands,,2020-03-15,9,1135,20,,,,,,,,,
Netherlands,,2020-03-16,10,1413,24,,,,,,,,,
Netherlands,,2020-03-17,11,1705,43,,,,,,,,,
Netherlands,,2020-03-18,12,2051,58,,,,,,,,,
Netherlands,,2020-03-19,13,2460,76,,,,,,,,,
Netherlands,,2020-03-20,14,2994,106,,,,,,,,,
Netherlands,,2020-03-21,15,3631,136,,,,,,,,,
Netherlands,,2020-03-22,16,4204,179,,,,,,,,,
Netherlands,,2020-03-23,17,4749,213,,,,,,,,,
Netherlands,,2020-03-24,18,5560,276,,,,,,,,,
Netherlands,,2020-03-25,19,6412,356,,,,,,,,,
Netherlands,,2020-03-26,20,7431,434,,,,,,,,,
Netherlands,,2020-03-27,21,8603,546,,,,,,,,,
Netherlands,,2020-03-28,22,9762,639,,,,,,,,,
