date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2021-01-02,US,AK_Lake_and_Peninsula,-193,3,0,,,,,,
2021-01-03,US,AK_Lake_and_Peninsula,-192,3,0,,,,,,
2021-01-04,US,AK_Lake_and_Peninsula,-191,3,0,,,,,,
2021-01-05,US,AK_Lake_and_Peninsula,-190,3,0,,,,,,
2021-01-06,US,AK_Lake_and_Peninsula,-189,3,0,,,,,,
2021-01-07,US,AK_Lake_and_Peninsula,-188,3,0,,,,,,
2021-01-08,US,AK_Lake_and_Peninsula,-187,3,0,,,,,,
2021-01-09,US,AK_Lake_and_Peninsula,-186,4,0,,,,,,
2021-01-10,US,AK_Lake_and_Peninsula,-185,4,0,,,,,,
2021-01-11,US,AK_Lake_and_Peninsula,-184,5,0,,,,,,
2021-01-12,US,AK_Lake_and_Peninsula,-183,5,0,,,,,,
2021-01-13,US,AK_Lake_and_Peninsula,-182,5,0,,,,,,
2021-01-14,US,AK_Lake_and_Peninsula,-181,5,0,,,,,,
2021-01-15,US,AK_Lake_and_Peninsula,-180,5,0,,,,,,
2021-01-16,US,AK_Lake_and_Peninsula,-179,6,0,,,,,,
2021-01-17,US,AK_Lake_and_Peninsula,-178,10,0,,,,,,
2021-01-18,US,AK_Lake_and_Peninsula,-177,11,0,,,,,,
2021-01-19,US,AK_Lake_and_Peninsula,-176,11,0,,,,,,
2021-01-20,US,AK_Lake_and_Peninsula,-175,11,0,,,,,,
2021-01-21,US,AK_Lake_and_Peninsula,-174,11,0,,,,,,
2021-01-22,US,AK_Lake_and_Peninsula,-173,11,0,,,,,,
2021-01-23,US,AK_Lake_and_Peninsula,-172,11,0,,,,,,
2021-01-24,US,AK_Lake_and_Peninsula,-171,11,0,,,,,,
2021-01-25,US,AK_Lake_and_Peninsula,-170,11,0,,,,,,
2021-01-26,US,AK_Lake_and_Peninsula,-169,11,0,,,,,,
2021-01-27,US,AK_Lake_and_Peninsula,-168,11,0,,,,,,
2021-01-28,US,AK_Lake_and_Peninsula,-167,11,0,,,,,,
2021-01-29,US,AK_Lake_and_Peninsula,-166,11,0,,,,,,
2021-01-30,US,AK_Lake_and_Peninsula,-165,11,0,,,,,,
2021-01-31,US,AK_Lake_and_Peninsula,-164,11,0,,,,,,
2021-02-01,US,AK_Lake_and_Peninsula,-163,11,0,,,,,,
2021-02-02,US,AK_Lake_and_Peninsula,-162,11,0,,,,,,
2021-02-03,US,AK_Lake_and_Peninsula,-161,11,0,,,,,,
2021-02-04,US,AK_Lake_and_Peninsula,-160,11,0,,,,,,
2021-02-05,US,AK_Lake_and_Peninsula,-159,11,0,,,,,,
2021-02-06,US,AK_Lake_and_Peninsula,-158,11,0,,,,,,
2021-02-07,US,AK_Lake_and_Peninsula,-157,11,0,,,,,,
2021-02-08,US,AK_Lake_and_Peninsula,-156,14,0,,,,,,
2021-02-09,US,AK_Lake_and_Peninsula,-155,15,0,,,,,,
2021-02-10,US,AK_Lake_and_Peninsula,-154,17,0,,,,,,
2021-02-11,US,AK_Lake_and_Peninsula,-153,17,0,,,,,,
2021-02-12,US,AK_Lake_and_Peninsula,-152,19,0,,,,,,
2021-02-13,US,AK_Lake_and_Peninsula,-151,20,0,,,,,,
2021-02-14,US,AK_Lake_and_Peninsula,-150,20,0,,,,,,
2021-02-15,US,AK_Lake_and_Peninsula,-149,20,0,,,,,,
2021-02-16,US,AK_Lake_and_Peninsula,-148,20,0,,,,,,
2021-02-17,US,AK_Lake_and_Peninsula,-147,20,0,,,,,,
2021-02-18,US,AK_Lake_and_Peninsula,-146,20,0,,,,,,
2021-02-19,US,AK_Lake_and_Peninsula,-145,20,0,,,,,,
2021-02-20,US,AK_Lake_and_Peninsula,-144,20,0,,,,,,
2021-02-21,US,AK_Lake_and_Peninsula,-143,20,0,,,,,,
2021-02-22,US,AK_Lake_and_Peninsula,-142,20,0,,,,,,
2021-02-23,US,AK_Lake_and_Peninsula,-141,20,0,,,,,,
2021-02-24,US,AK_Lake_and_Peninsula,-140,20,0,,,,,,
2021-02-25,US,AK_Lake_and_Peninsula,-139,20,0,,,,,,
2021-02-26,US,AK_Lake_and_Peninsula,-138,20,0,,,,,,
2021-02-27,US,AK_Lake_and_Peninsula,-137,20,0,,,,,,
2021-02-28,US,AK_Lake_and_Peninsula,-136,20,0,,,,,,
2021-03-01,US,AK_Lake_and_Peninsula,-135,20,0,,,,,,
2021-03-02,US,AK_Lake_and_Peninsula,-134,20,0,,,,,,
2021-03-03,US,AK_Lake_and_Peninsula,-133,20,0,,,,,,
2021-03-04,US,AK_Lake_and_Peninsula,-132,20,0,,,,,,
2021-03-05,US,AK_Lake_and_Peninsula,-131,20,0,,,,,,
2021-03-06,US,AK_Lake_and_Peninsula,-130,20,0,,,,,,
2021-03-07,US,AK_Lake_and_Peninsula,-129,20,0,,,,,,
2021-03-08,US,AK_Lake_and_Peninsula,-128,20,0,,,,,,
2021-03-09,US,AK_Lake_and_Peninsula,-127,20,0,,,,,,
2021-03-10,US,AK_Lake_and_Peninsula,-126,20,0,,,,,,
2021-03-11,US,AK_Lake_and_Peninsula,-125,20,0,,,,,,
