date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-03-26,US,AL_Bullock_County,-58,2,0,,,,,,
2020-03-27,US,AL_Bullock_County,-57,2,0,,,,,,
2020-03-28,US,AL_Bullock_County,-56,3,0,,,,,,
2020-03-29,US,AL_Bullock_County,-55,3,0,,,,,,
2020-03-30,US,AL_Bullock_County,-54,3,0,,,,,,
2020-03-31,US,AL_Bullock_County,-53,3,0,,,,,,
2020-04-01,US,AL_Bullock_County,-52,3,0,,,,,,
2020-04-02,US,AL_Bullock_County,-51,3,0,,,,,,
2020-04-03,US,AL_Bullock_County,-50,3,0,,,,,,
2020-04-04,US,AL_Bullock_County,-49,3,0,,,,,,
2020-04-05,US,AL_Bullock_County,-48,3,0,,,,,,
2020-04-06,US,AL_Bullock_County,-47,3,0,,,,,,
2020-04-07,US,AL_Bullock_County,-46,3,0,,,,,,
2020-04-08,US,AL_Bullock_County,-45,3,0,,,,,,
2020-04-09,US,AL_Bullock_County,-44,4,0,,,,,,
2020-04-10,US,AL_Bullock_County,-43,4,0,,,,,,
2020-04-11,US,AL_Bullock_County,-42,4,0,,,,,,
2020-04-12,US,AL_Bullock_County,-41,4,0,,,,,,
2020-04-13,US,AL_Bullock_County,-40,6,0,,,,,,
2020-04-14,US,AL_Bullock_County,-39,8,0,,,,,,
2020-04-15,US,AL_Bullock_County,-38,8,0,,,,,,
2020-04-16,US,AL_Bullock_County,-37,8,0,,,,,,
2020-04-17,US,AL_Bullock_County,-36,8,0,,,,,,
2020-04-18,US,AL_Bullock_County,-35,9,0,,,,,,
2020-04-19,US,AL_Bullock_County,-34,9,0,,,,,,
2020-04-20,US,AL_Bullock_County,-33,11,0,,,,,,
2020-04-21,US,AL_Bullock_County,-32,11,0,,,,,,
2020-04-22,US,AL_Bullock_County,-31,11,0,,,,,,
2020-04-23,US,AL_Bullock_County,-30,12,0,,,,,,
2020-04-24,US,AL_Bullock_County,-29,12,0,,,,,,
2020-04-25,US,AL_Bullock_County,-28,12,0,,,,,,
2020-04-26,US,AL_Bullock_County,-27,12,0,,,,,,
2020-04-27,US,AL_Bullock_County,-26,12,0,,,,,,
2020-04-28,US,AL_Bullock_County,-25,12,0,,,,,,
2020-04-29,US,AL_Bullock_County,-24,12,0,,,,,,
2020-04-30,US,AL_Bullock_County,-23,13,0,,,,,,
2020-05-01,US,AL_Bullock_County,-22,14,0,,,,,,
