date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-03-26,US,AL_DeKalb_County,-41,1,0,,,,,,
2020-03-27,US,AL_DeKalb_County,-40,4,0,,,,,,
2020-03-28,US,AL_DeKalb_County,-39,4,0,,,,,,
2020-03-29,US,AL_DeKalb_County,-38,4,0,,,,,,
2020-03-30,US,AL_DeKalb_County,-37,4,0,,,,,,
2020-03-31,US,AL_DeKalb_County,-36,4,0,,,,,,
2020-04-01,US,AL_DeKalb_County,-35,6,0,,,,,,
2020-04-02,US,AL_DeKalb_County,-34,8,0,,,,,,
2020-04-03,US,AL_DeKalb_County,-33,10,0,,,,,,
2020-04-04,US,AL_DeKalb_County,-32,13,0,,,,,,
2020-04-05,US,AL_DeKalb_County,-31,14,0,,,,,,
2020-04-06,US,AL_DeKalb_County,-30,14,0,,,,,,
2020-04-07,US,AL_DeKalb_County,-29,14,0,,,,,,
2020-04-08,US,AL_DeKalb_County,-28,14,0,,,,,,
2020-04-09,US,AL_DeKalb_County,-27,16,0,,,,,,
2020-04-10,US,AL_DeKalb_County,-26,18,0,,,,,,
2020-04-11,US,AL_DeKalb_County,-25,21,0,,,,,,
2020-04-12,US,AL_DeKalb_County,-24,26,0,,,,,,
2020-04-13,US,AL_DeKalb_County,-23,28,0,,,,,,
2020-04-14,US,AL_DeKalb_County,-22,29,0,,,,,,
2020-04-15,US,AL_DeKalb_County,-21,31,0,,,,,,
2020-04-16,US,AL_DeKalb_County,-20,32,1,,,,,,
2020-04-17,US,AL_DeKalb_County,-19,34,2,,,,,,
2020-04-18,US,AL_DeKalb_County,-18,40,2,,,,,,
2020-04-19,US,AL_DeKalb_County,-17,42,2,,,,,,
2020-04-20,US,AL_DeKalb_County,-16,46,2,,,,,,
2020-04-21,US,AL_DeKalb_County,-15,51,2,,,,,,
2020-04-22,US,AL_DeKalb_County,-14,58,2,,,,,,
2020-04-23,US,AL_DeKalb_County,-13,61,2,,,,,,
2020-04-24,US,AL_DeKalb_County,-12,61,2,,,,,,
2020-04-25,US,AL_DeKalb_County,-11,63,2,,,,,,
2020-04-26,US,AL_DeKalb_County,-10,70,2,,,,,,
2020-04-27,US,AL_DeKalb_County,-9,74,2,,,,,,
2020-04-28,US,AL_DeKalb_County,-8,76,2,,,,,,
2020-04-29,US,AL_DeKalb_County,-7,77,2,,,,,,
2020-04-30,US,AL_DeKalb_County,-6,77,2,,,,,,
2020-05-01,US,AL_DeKalb_County,-5,77,2,,,,,,
2020-05-02,US,AL_DeKalb_County,-4,77,2,,,,,,
2020-05-03,US,AL_DeKalb_County,-3,79,2,,,,,,
2020-05-04,US,AL_DeKalb_County,-2,90,2,,,,,,
2020-05-05,US,AL_DeKalb_County,-1,99,2,,,,,,
2020-05-06,US,AL_DeKalb_County,0,109,2,,,,,,
2020-05-07,US,AL_DeKalb_County,1,124,2,,,,,,
2020-05-08,US,AL_DeKalb_County,2,136,2,,,,,,
2020-05-09,US,AL_DeKalb_County,3,142,2,,,,,,
2020-05-10,US,AL_DeKalb_County,4,147,2,,,,,,
2020-05-11,US,AL_DeKalb_County,5,158,2,,,,,,
2020-05-12,US,AL_DeKalb_County,6,167,2,,,,,,
2020-05-13,US,AL_DeKalb_County,7,179,2,,,,,,
2020-05-14,US,AL_DeKalb_County,8,185,2,,,,,,
2020-05-15,US,AL_DeKalb_County,9,190,2,,,,,,
2020-05-16,US,AL_DeKalb_County,10,192,2,,,,,,
2020-05-17,US,AL_DeKalb_County,11,192,2,,,,,,
2020-05-18,US,AL_DeKalb_County,12,196,2,,,,,,
2020-05-19,US,AL_DeKalb_County,13,196,3,,,,,,
2020-05-20,US,AL_DeKalb_County,14,206,3,,,,,,
2020-05-21,US,AL_DeKalb_County,15,209,3,,,,,,
2020-05-22,US,AL_DeKalb_County,16,209,3,,,,,,
2020-05-23,US,AL_DeKalb_County,17,216,3,,,,,,
2020-05-24,US,AL_DeKalb_County,18,221,3,,,,,,
2020-05-25,US,AL_DeKalb_County,19,226,3,,,,,,
2020-05-26,US,AL_DeKalb_County,20,234,3,,,,,,
2020-05-27,US,AL_DeKalb_County,21,240,3,,,,,,
2020-05-28,US,AL_DeKalb_County,22,241,3,,,,,,
2020-05-29,US,AL_DeKalb_County,23,243,3,,,,,,
2020-05-30,US,AL_DeKalb_County,24,243,3,,,,,,
2020-05-31,US,AL_DeKalb_County,25,248,3,,,,,,
2020-06-01,US,AL_DeKalb_County,26,253,3,,,,,,
2020-06-02,US,AL_DeKalb_County,27,260,3,,,,,,
2020-06-03,US,AL_DeKalb_County,28,261,3,,,,,,
2020-06-04,US,AL_DeKalb_County,29,261,3,,,,,,
2020-06-05,US,AL_DeKalb_County,30,264,3,,,,,,
2020-06-06,US,AL_DeKalb_County,31,272,3,,,,,,
2020-06-07,US,AL_DeKalb_County,32,273,3,,,,,,
2020-06-08,US,AL_DeKalb_County,33,276,3,,,,,,
2020-06-09,US,AL_DeKalb_County,34,280,5,,,,,,
2020-06-10,US,AL_DeKalb_County,35,282,5,,,,,,
2020-06-11,US,AL_DeKalb_County,36,295,5,,,,,,
2020-06-12,US,AL_DeKalb_County,37,307,5,,,,,,
2020-06-13,US,AL_DeKalb_County,38,315,5,,,,,,
2020-06-14,US,AL_DeKalb_County,39,322,5,,,,,,
2020-06-15,US,AL_DeKalb_County,40,326,5,,,,,,
2020-06-16,US,AL_DeKalb_County,41,339,5,,,,,,
2020-06-17,US,AL_DeKalb_County,42,356,5,,,,,,
2020-06-18,US,AL_DeKalb_County,43,366,5,,,,,,
2020-06-19,US,AL_DeKalb_County,44,398,5,,,,,,
2020-06-20,US,AL_DeKalb_County,45,403,5,,,,,,
