date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-03-30,US,AR_St._Francis_County,-38,1,0,,,,,,
2020-03-31,US,AR_St._Francis_County,-37,2,0,,,,,,
2020-04-01,US,AR_St._Francis_County,-36,2,0,,,,,,
2020-04-02,US,AR_St._Francis_County,-35,2,0,,,,,,
2020-04-03,US,AR_St._Francis_County,-34,2,0,,,,,,
2020-04-04,US,AR_St._Francis_County,-33,3,0,,,,,,
2020-04-05,US,AR_St._Francis_County,-32,11,0,,,,,,
2020-04-06,US,AR_St._Francis_County,-31,17,0,,,,,,
2020-04-07,US,AR_St._Francis_County,-30,28,0,,,,,,
2020-04-08,US,AR_St._Francis_County,-29,31,0,,,,,,
2020-04-09,US,AR_St._Francis_County,-28,31,0,,,,,,
2020-04-10,US,AR_St._Francis_County,-27,31,0,,,,,,
2020-04-11,US,AR_St._Francis_County,-26,31,0,,,,,,
2020-04-12,US,AR_St._Francis_County,-25,32,0,,,,,,
2020-04-13,US,AR_St._Francis_County,-24,45,0,,,,,,
2020-04-14,US,AR_St._Francis_County,-23,45,0,,,,,,
2020-04-15,US,AR_St._Francis_County,-22,45,0,,,,,,
2020-04-16,US,AR_St._Francis_County,-21,63,0,,,,,,
2020-04-17,US,AR_St._Francis_County,-20,63,0,,,,,,
2020-04-18,US,AR_St._Francis_County,-19,64,0,,,,,,
2020-04-19,US,AR_St._Francis_County,-18,64,0,,,,,,
2020-04-20,US,AR_St._Francis_County,-17,65,0,,,,,,
2020-04-21,US,AR_St._Francis_County,-16,66,0,,,,,,
2020-04-22,US,AR_St._Francis_County,-15,66,0,,,,,,
2020-04-23,US,AR_St._Francis_County,-14,69,0,,,,,,
2020-04-24,US,AR_St._Francis_County,-13,74,0,,,,,,
2020-04-25,US,AR_St._Francis_County,-12,75,0,,,,,,
2020-04-26,US,AR_St._Francis_County,-11,80,0,,,,,,
2020-04-27,US,AR_St._Francis_County,-10,81,0,,,,,,
2020-04-28,US,AR_St._Francis_County,-9,82,0,,,,,,
2020-04-29,US,AR_St._Francis_County,-8,83,0,,,,,,
2020-04-30,US,AR_St._Francis_County,-7,83,0,,,,,,
2020-05-01,US,AR_St._Francis_County,-6,84,0,,,,,,
2020-05-02,US,AR_St._Francis_County,-5,87,0,,,,,,
2020-05-03,US,AR_St._Francis_County,-4,93,0,,,,,,
2020-05-04,US,AR_St._Francis_County,-3,95,0,,,,,,
2020-05-05,US,AR_St._Francis_County,-2,95,0,,,,,,
2020-05-06,US,AR_St._Francis_County,-1,98,0,,,,,,
2020-05-07,US,AR_St._Francis_County,0,104,0,,,,,,
2020-05-08,US,AR_St._Francis_County,1,108,0,,,,,,
2020-05-09,US,AR_St._Francis_County,2,108,0,,,,,,
2020-05-10,US,AR_St._Francis_County,3,278,0,,,,,,
2020-05-11,US,AR_St._Francis_County,4,279,0,,,,,,
2020-05-12,US,AR_St._Francis_County,5,305,0,,,,,,
2020-05-13,US,AR_St._Francis_County,6,310,0,,,,,,
2020-05-14,US,AR_St._Francis_County,7,316,0,,,,,,
2020-05-15,US,AR_St._Francis_County,8,333,0,,,,,,
2020-05-16,US,AR_St._Francis_County,9,335,0,,,,,,
2020-05-17,US,AR_St._Francis_County,10,341,0,,,,,,
2020-05-18,US,AR_St._Francis_County,11,349,0,,,,,,
2020-05-19,US,AR_St._Francis_County,12,362,0,,,,,,
2020-05-20,US,AR_St._Francis_County,13,365,0,,,,,,
2020-05-21,US,AR_St._Francis_County,14,600,0,,,,,,
2020-05-22,US,AR_St._Francis_County,15,621,1,,,,,,
2020-05-23,US,AR_St._Francis_County,16,628,1,,,,,,
2020-05-24,US,AR_St._Francis_County,17,634,1,,,,,,
2020-05-25,US,AR_St._Francis_County,18,639,1,,,,,,
2020-05-26,US,AR_St._Francis_County,19,651,1,,,,,,
2020-05-27,US,AR_St._Francis_County,20,655,1,,,,,,
2020-05-28,US,AR_St._Francis_County,21,660,1,,,,,,
2020-05-29,US,AR_St._Francis_County,22,664,1,,,,,,
2020-05-30,US,AR_St._Francis_County,23,672,1,,,,,,
2020-05-31,US,AR_St._Francis_County,24,672,1,,,,,,
2020-06-01,US,AR_St._Francis_County,25,676,1,,,,,,
2020-06-02,US,AR_St._Francis_County,26,682,1,,,,,,
2020-06-03,US,AR_St._Francis_County,27,687,1,,,,,,
2020-06-04,US,AR_St._Francis_County,28,691,1,,,,,,
2020-06-05,US,AR_St._Francis_County,29,694,1,,,,,,
2020-06-06,US,AR_St._Francis_County,30,744,1,,,,,,
2020-06-07,US,AR_St._Francis_County,31,753,1,,,,,,
2020-06-08,US,AR_St._Francis_County,32,755,1,,,,,,
2020-06-09,US,AR_St._Francis_County,33,761,1,,,,,,
2020-06-10,US,AR_St._Francis_County,34,764,1,,,,,,
2020-06-11,US,AR_St._Francis_County,35,768,1,,,,,,
2020-06-12,US,AR_St._Francis_County,36,768,2,,,,,,
2020-06-13,US,AR_St._Francis_County,37,771,2,,,,,,
2020-06-14,US,AR_St._Francis_County,38,775,2,,,,,,
2020-06-15,US,AR_St._Francis_County,39,778,2,,,,,,
2020-06-16,US,AR_St._Francis_County,40,779,3,,,,,,
2020-06-17,US,AR_St._Francis_County,41,779,3,,,,,,
2020-06-18,US,AR_St._Francis_County,42,781,3,,,,,,
2020-06-19,US,AR_St._Francis_County,43,783,3,,,,,,
2020-06-20,US,AR_St._Francis_County,44,791,3,,,,,,
2020-06-21,US,AR_St._Francis_County,45,791,3,,,,,,
2020-06-22,US,AR_St._Francis_County,46,792,3,,,,,,
2020-06-23,US,AR_St._Francis_County,47,793,3,,,,,,
