date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-03-26,US,IA_Clayton_County,-132,1,0,,,,,,
2020-03-27,US,IA_Clayton_County,-131,1,0,,,,,,
2020-03-28,US,IA_Clayton_County,-130,1,0,,,,,,
2020-03-29,US,IA_Clayton_County,-129,1,0,,,,,,
2020-03-30,US,IA_Clayton_County,-128,1,0,,,,,,
2020-03-31,US,IA_Clayton_County,-127,1,0,,,,,,
2020-04-01,US,IA_Clayton_County,-126,2,0,,,,,,
2020-04-02,US,IA_Clayton_County,-125,2,0,,,,,,
2020-04-03,US,IA_Clayton_County,-124,3,0,,,,,,
2020-04-04,US,IA_Clayton_County,-123,3,0,,,,,,
2020-04-05,US,IA_Clayton_County,-122,4,0,,,,,,
2020-04-06,US,IA_Clayton_County,-121,4,0,,,,,,
2020-04-07,US,IA_Clayton_County,-120,5,0,,,,,,
2020-04-08,US,IA_Clayton_County,-119,5,0,,,,,,
2020-04-09,US,IA_Clayton_County,-118,5,0,,,,,,
2020-04-10,US,IA_Clayton_County,-117,6,0,,,,,,
2020-04-11,US,IA_Clayton_County,-116,7,0,,,,,,
2020-04-12,US,IA_Clayton_County,-115,7,0,,,,,,
2020-04-13,US,IA_Clayton_County,-114,7,0,,,,,,
2020-04-14,US,IA_Clayton_County,-113,7,0,,,,,,
2020-04-15,US,IA_Clayton_County,-112,7,1,,,,,,
2020-04-16,US,IA_Clayton_County,-111,7,1,,,,,,
2020-04-17,US,IA_Clayton_County,-110,7,1,,,,,,
2020-04-18,US,IA_Clayton_County,-109,7,1,,,,,,
2020-04-19,US,IA_Clayton_County,-108,7,1,,,,,,
2020-04-20,US,IA_Clayton_County,-107,7,1,,,,,,
2020-04-21,US,IA_Clayton_County,-106,8,1,,,,,,
2020-04-22,US,IA_Clayton_County,-105,8,1,,,,,,
2020-04-23,US,IA_Clayton_County,-104,8,1,,,,,,
2020-04-24,US,IA_Clayton_County,-103,9,1,,,,,,
2020-04-25,US,IA_Clayton_County,-102,11,1,,,,,,
2020-04-26,US,IA_Clayton_County,-101,12,1,,,,,,
2020-04-27,US,IA_Clayton_County,-100,13,1,,,,,,
2020-04-28,US,IA_Clayton_County,-99,13,1,,,,,,
2020-04-29,US,IA_Clayton_County,-98,13,1,,,,,,
2020-04-30,US,IA_Clayton_County,-97,14,1,,,,,,
2020-05-01,US,IA_Clayton_County,-96,17,1,,,,,,
2020-05-02,US,IA_Clayton_County,-95,18,1,,,,,,
2020-05-03,US,IA_Clayton_County,-94,18,1,,,,,,
2020-05-04,US,IA_Clayton_County,-93,18,1,,,,,,
2020-05-05,US,IA_Clayton_County,-92,18,1,,,,,,
2020-05-06,US,IA_Clayton_County,-91,18,2,,,,,,
2020-05-07,US,IA_Clayton_County,-90,19,2,,,,,,
2020-05-08,US,IA_Clayton_County,-89,21,2,,,,,,
2020-05-09,US,IA_Clayton_County,-88,22,2,,,,,,
2020-05-10,US,IA_Clayton_County,-87,23,2,,,,,,
2020-05-11,US,IA_Clayton_County,-86,23,2,,,,,,
2020-05-12,US,IA_Clayton_County,-85,28,3,,,,,,
2020-05-13,US,IA_Clayton_County,-84,28,3,,,,,,
2020-05-14,US,IA_Clayton_County,-83,28,3,,,,,,
2020-05-15,US,IA_Clayton_County,-82,28,3,,,,,,
2020-05-16,US,IA_Clayton_County,-81,28,3,,,,,,
2020-05-17,US,IA_Clayton_County,-80,28,3,,,,,,
2020-05-18,US,IA_Clayton_County,-79,30,3,,,,,,
2020-05-19,US,IA_Clayton_County,-78,30,3,,,,,,
2020-05-20,US,IA_Clayton_County,-77,30,3,,,,,,
