date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-04-07,US,IA_Greene_County,-171,1,0,,,,,,
2020-04-08,US,IA_Greene_County,-170,1,0,,,,,,
2020-04-09,US,IA_Greene_County,-169,1,0,,,,,,
2020-04-10,US,IA_Greene_County,-168,1,0,,,,,,
2020-04-11,US,IA_Greene_County,-167,1,0,,,,,,
2020-04-12,US,IA_Greene_County,-166,1,0,,,,,,
2020-04-13,US,IA_Greene_County,-165,1,0,,,,,,
2020-04-14,US,IA_Greene_County,-164,1,0,,,,,,
2020-04-15,US,IA_Greene_County,-163,1,0,,,,,,
2020-04-16,US,IA_Greene_County,-162,1,0,,,,,,
2020-04-17,US,IA_Greene_County,-161,1,0,,,,,,
2020-04-18,US,IA_Greene_County,-160,1,0,,,,,,
2020-04-19,US,IA_Greene_County,-159,1,0,,,,,,
2020-04-20,US,IA_Greene_County,-158,1,0,,,,,,
2020-04-21,US,IA_Greene_County,-157,1,0,,,,,,
2020-04-22,US,IA_Greene_County,-156,1,0,,,,,,
2020-04-23,US,IA_Greene_County,-155,1,0,,,,,,
2020-04-24,US,IA_Greene_County,-154,1,0,,,,,,
2020-04-25,US,IA_Greene_County,-153,1,0,,,,,,
2020-04-26,US,IA_Greene_County,-152,1,0,,,,,,
2020-04-27,US,IA_Greene_County,-151,2,0,,,,,,
2020-04-28,US,IA_Greene_County,-150,2,0,,,,,,
2020-04-29,US,IA_Greene_County,-149,2,0,,,,,,
2020-04-30,US,IA_Greene_County,-148,5,0,,,,,,
2020-05-01,US,IA_Greene_County,-147,7,0,,,,,,
2020-05-02,US,IA_Greene_County,-146,10,0,,,,,,
2020-05-03,US,IA_Greene_County,-145,11,0,,,,,,
2020-05-04,US,IA_Greene_County,-144,11,0,,,,,,
2020-05-05,US,IA_Greene_County,-143,11,0,,,,,,
2020-05-06,US,IA_Greene_County,-142,11,0,,,,,,
2020-05-07,US,IA_Greene_County,-141,13,0,,,,,,
2020-05-08,US,IA_Greene_County,-140,13,0,,,,,,
2020-05-09,US,IA_Greene_County,-139,13,0,,,,,,
2020-05-10,US,IA_Greene_County,-138,13,0,,,,,,
2020-05-11,US,IA_Greene_County,-137,13,0,,,,,,
2020-05-12,US,IA_Greene_County,-136,13,0,,,,,,
2020-05-13,US,IA_Greene_County,-135,13,0,,,,,,
2020-05-14,US,IA_Greene_County,-134,14,0,,,,,,
2020-05-15,US,IA_Greene_County,-133,14,0,,,,,,
2020-05-16,US,IA_Greene_County,-132,14,0,,,,,,
2020-05-17,US,IA_Greene_County,-131,14,0,,,,,,
2020-05-18,US,IA_Greene_County,-130,14,0,,,,,,
2020-05-19,US,IA_Greene_County,-129,14,0,,,,,,
2020-05-20,US,IA_Greene_County,-128,14,0,,,,,,
2020-05-21,US,IA_Greene_County,-127,14,0,,,,,,
2020-05-22,US,IA_Greene_County,-126,14,0,,,,,,
2020-05-23,US,IA_Greene_County,-125,14,0,,,,,,
2020-05-24,US,IA_Greene_County,-124,14,0,,,,,,
2020-05-25,US,IA_Greene_County,-123,13,0,,,,,,
2020-05-26,US,IA_Greene_County,-122,13,0,,,,,,
2020-05-27,US,IA_Greene_County,-121,13,0,,,,,,
2020-05-28,US,IA_Greene_County,-120,13,0,,,,,,
2020-05-29,US,IA_Greene_County,-119,13,0,,,,,,
2020-05-30,US,IA_Greene_County,-118,13,0,,,,,,
2020-05-31,US,IA_Greene_County,-117,13,0,,,,,,
2020-06-01,US,IA_Greene_County,-116,13,0,,,,,,
2020-06-02,US,IA_Greene_County,-115,13,0,,,,,,
2020-06-03,US,IA_Greene_County,-114,13,0,,,,,,
2020-06-04,US,IA_Greene_County,-113,15,0,,,,,,
2020-06-05,US,IA_Greene_County,-112,15,0,,,,,,
2020-06-06,US,IA_Greene_County,-111,15,0,,,,,,
2020-06-07,US,IA_Greene_County,-110,15,0,,,,,,
2020-06-08,US,IA_Greene_County,-109,15,0,,,,,,
2020-06-09,US,IA_Greene_County,-108,15,0,,,,,,
2020-06-10,US,IA_Greene_County,-107,16,0,,,,,,
2020-06-11,US,IA_Greene_County,-106,16,0,,,,,,
2020-06-12,US,IA_Greene_County,-105,20,0,,,,,,
2020-06-13,US,IA_Greene_County,-104,21,0,,,,,,
2020-06-14,US,IA_Greene_County,-103,21,0,,,,,,
2020-06-15,US,IA_Greene_County,-102,21,0,,,,,,
2020-06-16,US,IA_Greene_County,-101,21,0,,,,,,
2020-06-17,US,IA_Greene_County,-100,25,0,,,,,,
2020-06-18,US,IA_Greene_County,-99,26,0,,,,,,
2020-06-19,US,IA_Greene_County,-98,27,0,,,,,,
2020-06-20,US,IA_Greene_County,-97,27,0,,,,,,
2020-06-21,US,IA_Greene_County,-96,28,0,,,,,,
2020-06-22,US,IA_Greene_County,-95,28,0,,,,,,
2020-06-23,US,IA_Greene_County,-94,28,0,,,,,,
2020-06-24,US,IA_Greene_County,-93,28,0,,,,,,
