date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-06-30,US,ID_Bear_Lake_County,-130,1,0,,,,,,
2020-07-01,US,ID_Bear_Lake_County,-129,2,0,,,,,,
2020-07-02,US,ID_Bear_Lake_County,-128,2,0,,,,,,
2020-07-03,US,ID_Bear_Lake_County,-127,2,0,,,,,,
2020-07-04,US,ID_Bear_Lake_County,-126,2,0,,,,,,
2020-07-05,US,ID_Bear_Lake_County,-125,2,0,,,,,,
2020-07-06,US,ID_Bear_Lake_County,-124,2,0,,,,,,
2020-07-07,US,ID_Bear_Lake_County,-123,2,0,,,,,,
2020-07-08,US,ID_Bear_Lake_County,-122,2,0,,,,,,
2020-07-09,US,ID_Bear_Lake_County,-121,2,0,,,,,,
2020-07-10,US,ID_Bear_Lake_County,-120,3,0,,,,,,
2020-07-11,US,ID_Bear_Lake_County,-119,3,0,,,,,,
2020-07-12,US,ID_Bear_Lake_County,-118,3,0,,,,,,
2020-07-13,US,ID_Bear_Lake_County,-117,4,0,,,,,,
2020-07-14,US,ID_Bear_Lake_County,-116,4,0,,,,,,
2020-07-15,US,ID_Bear_Lake_County,-115,5,0,,,,,,
2020-07-16,US,ID_Bear_Lake_County,-114,6,0,,,,,,
2020-07-17,US,ID_Bear_Lake_County,-113,6,0,,,,,,
2020-07-18,US,ID_Bear_Lake_County,-112,6,0,,,,,,
2020-07-19,US,ID_Bear_Lake_County,-111,6,0,,,,,,
2020-07-20,US,ID_Bear_Lake_County,-110,6,0,,,,,,
2020-07-21,US,ID_Bear_Lake_County,-109,6,0,,,,,,
2020-07-22,US,ID_Bear_Lake_County,-108,7,0,,,,,,
2020-07-23,US,ID_Bear_Lake_County,-107,9,0,,,,,,
2020-07-24,US,ID_Bear_Lake_County,-106,9,0,,,,,,
2020-07-25,US,ID_Bear_Lake_County,-105,9,0,,,,,,
2020-07-26,US,ID_Bear_Lake_County,-104,9,0,,,,,,
2020-07-27,US,ID_Bear_Lake_County,-103,10,0,,,,,,
2020-07-28,US,ID_Bear_Lake_County,-102,11,0,,,,,,
2020-07-29,US,ID_Bear_Lake_County,-101,12,0,,,,,,
2020-07-30,US,ID_Bear_Lake_County,-100,12,0,,,,,,
