date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-03-29,US,LA_Sabine_Parish,-100,1,0,,,,,,
2020-03-30,US,LA_Sabine_Parish,-99,1,0,,,,,,
2020-03-31,US,LA_Sabine_Parish,-98,2,0,,,,,,
2020-04-01,US,LA_Sabine_Parish,-97,3,0,,,,,,
2020-04-02,US,LA_Sabine_Parish,-96,4,0,,,,,,
2020-04-03,US,LA_Sabine_Parish,-95,4,0,,,,,,
2020-04-04,US,LA_Sabine_Parish,-94,4,0,,,,,,
2020-04-05,US,LA_Sabine_Parish,-93,5,0,,,,,,
2020-04-06,US,LA_Sabine_Parish,-92,7,0,,,,,,
2020-04-07,US,LA_Sabine_Parish,-91,7,0,,,,,,
2020-04-08,US,LA_Sabine_Parish,-90,7,0,,,,,,
2020-04-09,US,LA_Sabine_Parish,-89,8,0,,,,,,
2020-04-10,US,LA_Sabine_Parish,-88,8,0,,,,,,
2020-04-11,US,LA_Sabine_Parish,-87,8,0,,,,,,
2020-04-12,US,LA_Sabine_Parish,-86,9,0,,,,,,
2020-04-13,US,LA_Sabine_Parish,-85,9,0,,,,,,
2020-04-14,US,LA_Sabine_Parish,-84,10,0,,,,,,
2020-04-15,US,LA_Sabine_Parish,-83,10,0,,,,,,
2020-04-16,US,LA_Sabine_Parish,-82,11,0,,,,,,
2020-04-17,US,LA_Sabine_Parish,-81,13,0,,,,,,
2020-04-18,US,LA_Sabine_Parish,-80,13,0,,,,,,
2020-04-19,US,LA_Sabine_Parish,-79,13,0,,,,,,
2020-04-20,US,LA_Sabine_Parish,-78,13,0,,,,,,
2020-04-21,US,LA_Sabine_Parish,-77,14,0,,,,,,
2020-04-22,US,LA_Sabine_Parish,-76,14,0,,,,,,
2020-04-23,US,LA_Sabine_Parish,-75,14,0,,,,,,
2020-04-24,US,LA_Sabine_Parish,-74,14,0,,,,,,
2020-04-25,US,LA_Sabine_Parish,-73,14,0,,,,,,
2020-04-26,US,LA_Sabine_Parish,-72,14,0,,,,,,
2020-04-27,US,LA_Sabine_Parish,-71,14,0,,,,,,
2020-04-28,US,LA_Sabine_Parish,-70,16,1,,,,,,
2020-04-29,US,LA_Sabine_Parish,-69,16,1,,,,,,
2020-04-30,US,LA_Sabine_Parish,-68,17,1,,,,,,
2020-05-01,US,LA_Sabine_Parish,-67,17,1,,,,,,
2020-05-02,US,LA_Sabine_Parish,-66,17,1,,,,,,
2020-05-03,US,LA_Sabine_Parish,-65,17,1,,,,,,
2020-05-04,US,LA_Sabine_Parish,-64,17,1,,,,,,
2020-05-05,US,LA_Sabine_Parish,-63,17,1,,,,,,
2020-05-06,US,LA_Sabine_Parish,-62,17,1,,,,,,
2020-05-07,US,LA_Sabine_Parish,-61,17,1,,,,,,
2020-05-08,US,LA_Sabine_Parish,-60,17,1,,,,,,
2020-05-09,US,LA_Sabine_Parish,-59,17,1,,,,,,
2020-05-10,US,LA_Sabine_Parish,-58,17,1,,,,,,
2020-05-11,US,LA_Sabine_Parish,-57,19,1,,,,,,
2020-05-12,US,LA_Sabine_Parish,-56,19,1,,,,,,
2020-05-13,US,LA_Sabine_Parish,-55,28,1,,,,,,
2020-05-14,US,LA_Sabine_Parish,-54,29,1,,,,,,
2020-05-15,US,LA_Sabine_Parish,-53,29,1,,,,,,
2020-05-16,US,LA_Sabine_Parish,-52,29,1,,,,,,
2020-05-17,US,LA_Sabine_Parish,-51,29,1,,,,,,
2020-05-18,US,LA_Sabine_Parish,-50,29,1,,,,,,
2020-05-19,US,LA_Sabine_Parish,-49,30,1,,,,,,
2020-05-20,US,LA_Sabine_Parish,-48,31,1,,,,,,
2020-05-21,US,LA_Sabine_Parish,-47,39,1,,,,,,
2020-05-22,US,LA_Sabine_Parish,-46,39,1,,,,,,
2020-05-23,US,LA_Sabine_Parish,-45,40,1,,,,,,
2020-05-24,US,LA_Sabine_Parish,-44,40,1,,,,,,
2020-05-25,US,LA_Sabine_Parish,-43,40,1,,,,,,
2020-05-26,US,LA_Sabine_Parish,-42,40,1,,,,,,
2020-05-27,US,LA_Sabine_Parish,-41,41,1,,,,,,
2020-05-28,US,LA_Sabine_Parish,-40,41,1,,,,,,
2020-05-29,US,LA_Sabine_Parish,-39,41,1,,,,,,
2020-05-30,US,LA_Sabine_Parish,-38,46,1,,,,,,
2020-05-31,US,LA_Sabine_Parish,-37,46,1,,,,,,
2020-06-01,US,LA_Sabine_Parish,-36,47,1,,,,,,
2020-06-02,US,LA_Sabine_Parish,-35,47,1,,,,,,
2020-06-03,US,LA_Sabine_Parish,-34,49,1,,,,,,
2020-06-04,US,LA_Sabine_Parish,-33,50,1,,,,,,
