date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-03-13,US,LA_Terrebonne_Parish,-21,1,0,,,,,,
2020-03-14,US,LA_Terrebonne_Parish,-20,2,0,,,,,,
2020-03-15,US,LA_Terrebonne_Parish,-19,2,0,,,,,,
2020-03-16,US,LA_Terrebonne_Parish,-18,2,0,,,,,,
2020-03-17,US,LA_Terrebonne_Parish,-17,3,0,,,,,,
2020-03-18,US,LA_Terrebonne_Parish,-16,3,0,,,,,,
2020-03-19,US,LA_Terrebonne_Parish,-15,4,0,,,,,,
2020-03-20,US,LA_Terrebonne_Parish,-14,7,0,,,,,,
2020-03-21,US,LA_Terrebonne_Parish,-13,11,0,,,,,,
2020-03-22,US,LA_Terrebonne_Parish,-12,12,0,,,,,,
2020-03-23,US,LA_Terrebonne_Parish,-11,14,0,,,,,,
2020-03-24,US,LA_Terrebonne_Parish,-10,14,0,,,,,,
2020-03-25,US,LA_Terrebonne_Parish,-9,15,0,,,,,,
2020-03-26,US,LA_Terrebonne_Parish,-8,21,0,,,,,,
2020-03-27,US,LA_Terrebonne_Parish,-7,23,1,,,,,,
2020-03-28,US,LA_Terrebonne_Parish,-6,26,1,,,,,,
2020-03-29,US,LA_Terrebonne_Parish,-5,29,1,,,,,,
2020-03-30,US,LA_Terrebonne_Parish,-4,34,1,,,,,,
2020-03-31,US,LA_Terrebonne_Parish,-3,40,1,,,,,,
2020-04-01,US,LA_Terrebonne_Parish,-2,55,1,,,,,,
2020-04-02,US,LA_Terrebonne_Parish,-1,97,1,,,,,,
2020-04-03,US,LA_Terrebonne_Parish,0,102,2,,,,,,
2020-04-04,US,LA_Terrebonne_Parish,1,143,8,,,,,,
2020-04-05,US,LA_Terrebonne_Parish,2,148,8,,,,,,
2020-04-06,US,LA_Terrebonne_Parish,3,182,8,,,,,,
2020-04-07,US,LA_Terrebonne_Parish,4,194,11,,,,,,
2020-04-08,US,LA_Terrebonne_Parish,5,209,14,,,,,,
2020-04-09,US,LA_Terrebonne_Parish,6,233,14,,,,,,
2020-04-10,US,LA_Terrebonne_Parish,7,244,14,,,,,,
2020-04-11,US,LA_Terrebonne_Parish,8,248,14,,,,,,
2020-04-12,US,LA_Terrebonne_Parish,9,255,14,,,,,,
2020-04-13,US,LA_Terrebonne_Parish,10,260,14,,,,,,
2020-04-14,US,LA_Terrebonne_Parish,11,265,17,,,,,,
2020-04-15,US,LA_Terrebonne_Parish,12,273,18,,,,,,
2020-04-16,US,LA_Terrebonne_Parish,13,283,18,,,,,,
2020-04-17,US,LA_Terrebonne_Parish,14,293,18,,,,,,
2020-04-18,US,LA_Terrebonne_Parish,15,310,21,,,,,,
2020-04-19,US,LA_Terrebonne_Parish,16,320,21,,,,,,
2020-04-20,US,LA_Terrebonne_Parish,17,342,21,,,,,,
2020-04-21,US,LA_Terrebonne_Parish,18,346,25,,,,,,
2020-04-22,US,LA_Terrebonne_Parish,19,350,25,,,,,,
2020-04-23,US,LA_Terrebonne_Parish,20,357,25,,,,,,
