date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-04-19,US,ME_Piscataquis_County,-247,1,0,,,,,,
2020-04-20,US,ME_Piscataquis_County,-246,1,0,,,,,,
2020-04-21,US,ME_Piscataquis_County,-245,1,0,,,,,,
2020-04-22,US,ME_Piscataquis_County,-244,1,0,,,,,,
2020-04-23,US,ME_Piscataquis_County,-243,1,0,,,,,,
2020-04-24,US,ME_Piscataquis_County,-242,1,0,,,,,,
2020-04-25,US,ME_Piscataquis_County,-241,1,0,,,,,,
2020-04-26,US,ME_Piscataquis_County,-240,1,0,,,,,,
2020-04-27,US,ME_Piscataquis_County,-239,1,0,,,,,,
2020-04-28,US,ME_Piscataquis_County,-238,1,0,,,,,,
2020-04-29,US,ME_Piscataquis_County,-237,1,0,,,,,,
2020-04-30,US,ME_Piscataquis_County,-236,1,0,,,,,,
2020-05-01,US,ME_Piscataquis_County,-235,1,0,,,,,,
2020-05-02,US,ME_Piscataquis_County,-234,1,0,,,,,,
2020-05-03,US,ME_Piscataquis_County,-233,1,0,,,,,,
2020-05-04,US,ME_Piscataquis_County,-232,1,0,,,,,,
2020-05-05,US,ME_Piscataquis_County,-231,1,0,,,,,,
2020-05-06,US,ME_Piscataquis_County,-230,1,0,,,,,,
2020-05-07,US,ME_Piscataquis_County,-229,1,0,,,,,,
2020-05-08,US,ME_Piscataquis_County,-228,1,0,,,,,,
2020-05-09,US,ME_Piscataquis_County,-227,1,0,,,,,,
2020-05-10,US,ME_Piscataquis_County,-226,1,0,,,,,,
2020-05-11,US,ME_Piscataquis_County,-225,1,0,,,,,,
2020-05-12,US,ME_Piscataquis_County,-224,1,0,,,,,,
2020-05-13,US,ME_Piscataquis_County,-223,1,0,,,,,,
2020-05-14,US,ME_Piscataquis_County,-222,1,0,,,,,,
2020-05-15,US,ME_Piscataquis_County,-221,1,0,,,,,,
2020-05-16,US,ME_Piscataquis_County,-220,1,0,,,,,,
2020-05-17,US,ME_Piscataquis_County,-219,1,0,,,,,,
2020-05-18,US,ME_Piscataquis_County,-218,1,0,,,,,,
2020-05-19,US,ME_Piscataquis_County,-217,1,0,,,,,,
2020-05-20,US,ME_Piscataquis_County,-216,1,0,,,,,,
2020-05-21,US,ME_Piscataquis_County,-215,1,0,,,,,,
2020-05-22,US,ME_Piscataquis_County,-214,1,0,,,,,,
2020-05-23,US,ME_Piscataquis_County,-213,1,0,,,,,,
2020-05-24,US,ME_Piscataquis_County,-212,1,0,,,,,,
2020-05-25,US,ME_Piscataquis_County,-211,1,0,,,,,,
2020-05-26,US,ME_Piscataquis_County,-210,1,0,,,,,,
2020-05-27,US,ME_Piscataquis_County,-209,1,0,,,,,,
2020-05-28,US,ME_Piscataquis_County,-208,1,0,,,,,,
2020-05-29,US,ME_Piscataquis_County,-207,1,0,,,,,,
2020-05-30,US,ME_Piscataquis_County,-206,1,0,,,,,,
2020-05-31,US,ME_Piscataquis_County,-205,1,0,,,,,,
2020-06-01,US,ME_Piscataquis_County,-204,1,0,,,,,,
2020-06-02,US,ME_Piscataquis_County,-203,1,0,,,,,,
2020-06-03,US,ME_Piscataquis_County,-202,1,0,,,,,,
2020-06-04,US,ME_Piscataquis_County,-201,1,0,,,,,,
2020-06-05,US,ME_Piscataquis_County,-200,1,0,,,,,,
2020-06-06,US,ME_Piscataquis_County,-199,1,0,,,,,,
2020-06-07,US,ME_Piscataquis_County,-198,1,0,,,,,,
2020-06-08,US,ME_Piscataquis_County,-197,1,0,,,,,,
2020-06-09,US,ME_Piscataquis_County,-196,1,0,,,,,,
2020-06-10,US,ME_Piscataquis_County,-195,1,0,,,,,,
2020-06-11,US,ME_Piscataquis_County,-194,1,0,,,,,,
2020-06-12,US,ME_Piscataquis_County,-193,1,0,,,,,,
2020-06-13,US,ME_Piscataquis_County,-192,1,0,,,,,,
2020-06-14,US,ME_Piscataquis_County,-191,1,0,,,,,,
2020-06-15,US,ME_Piscataquis_County,-190,1,0,,,,,,
2020-06-16,US,ME_Piscataquis_County,-189,1,0,,,,,,
2020-06-17,US,ME_Piscataquis_County,-188,1,0,,,,,,
2020-06-18,US,ME_Piscataquis_County,-187,1,0,,,,,,
2020-06-19,US,ME_Piscataquis_County,-186,1,0,,,,,,
2020-06-20,US,ME_Piscataquis_County,-185,2,0,,,,,,
2020-06-21,US,ME_Piscataquis_County,-184,2,0,,,,,,
2020-06-22,US,ME_Piscataquis_County,-183,2,0,,,,,,
2020-06-23,US,ME_Piscataquis_County,-182,2,0,,,,,,
2020-06-24,US,ME_Piscataquis_County,-181,2,0,,,,,,
2020-06-25,US,ME_Piscataquis_County,-180,2,0,,,,,,
2020-06-26,US,ME_Piscataquis_County,-179,2,0,,,,,,
2020-06-27,US,ME_Piscataquis_County,-178,3,0,,,,,,
2020-06-28,US,ME_Piscataquis_County,-177,3,0,,,,,,
2020-06-29,US,ME_Piscataquis_County,-176,3,0,,,,,,
2020-06-30,US,ME_Piscataquis_County,-175,3,0,,,,,,
2020-07-01,US,ME_Piscataquis_County,-174,3,0,,,,,,
2020-07-02,US,ME_Piscataquis_County,-173,3,0,,,,,,
2020-07-03,US,ME_Piscataquis_County,-172,3,0,,,,,,
2020-07-04,US,ME_Piscataquis_County,-171,3,0,,,,,,
2020-07-05,US,ME_Piscataquis_County,-170,4,0,,,,,,
2020-07-06,US,ME_Piscataquis_County,-169,4,0,,,,,,
2020-07-07,US,ME_Piscataquis_County,-168,4,0,,,,,,
2020-07-08,US,ME_Piscataquis_County,-167,4,0,,,,,,
2020-07-09,US,ME_Piscataquis_County,-166,5,0,,,,,,
2020-07-10,US,ME_Piscataquis_County,-165,5,0,,,,,,
2020-07-11,US,ME_Piscataquis_County,-164,5,0,,,,,,
2020-07-12,US,ME_Piscataquis_County,-163,5,0,,,,,,
2020-07-13,US,ME_Piscataquis_County,-162,5,0,,,,,,
2020-07-14,US,ME_Piscataquis_County,-161,5,0,,,,,,
2020-07-15,US,ME_Piscataquis_County,-160,5,0,,,,,,
2020-07-16,US,ME_Piscataquis_County,-159,5,0,,,,,,
2020-07-17,US,ME_Piscataquis_County,-158,5,0,,,,,,
2020-07-18,US,ME_Piscataquis_County,-157,5,0,,,,,,
2020-07-19,US,ME_Piscataquis_County,-156,5,0,,,,,,
2020-07-20,US,ME_Piscataquis_County,-155,5,0,,,,,,
