date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-06-20,US,MO_Ozark_County,-90,1,0,,,,,,
2020-06-21,US,MO_Ozark_County,-89,1,0,,,,,,
2020-06-22,US,MO_Ozark_County,-88,1,0,,,,,,
2020-06-23,US,MO_Ozark_County,-87,1,0,,,,,,
2020-06-24,US,MO_Ozark_County,-86,1,0,,,,,,
2020-06-25,US,MO_Ozark_County,-85,1,0,,,,,,
2020-06-26,US,MO_Ozark_County,-84,1,0,,,,,,
2020-06-27,US,MO_Ozark_County,-83,1,0,,,,,,
2020-06-28,US,MO_Ozark_County,-82,1,0,,,,,,
2020-06-29,US,MO_Ozark_County,-81,1,0,,,,,,
2020-06-30,US,MO_Ozark_County,-80,2,0,,,,,,
2020-07-01,US,MO_Ozark_County,-79,2,0,,,,,,
2020-07-02,US,MO_Ozark_County,-78,2,0,,,,,,
2020-07-03,US,MO_Ozark_County,-77,2,0,,,,,,
2020-07-04,US,MO_Ozark_County,-76,2,0,,,,,,
2020-07-05,US,MO_Ozark_County,-75,2,0,,,,,,
2020-07-06,US,MO_Ozark_County,-74,2,0,,,,,,
2020-07-07,US,MO_Ozark_County,-73,2,0,,,,,,
2020-07-08,US,MO_Ozark_County,-72,2,0,,,,,,
2020-07-09,US,MO_Ozark_County,-71,2,0,,,,,,
2020-07-10,US,MO_Ozark_County,-70,2,0,,,,,,
2020-07-11,US,MO_Ozark_County,-69,2,0,,,,,,
2020-07-12,US,MO_Ozark_County,-68,2,0,,,,,,
2020-07-13,US,MO_Ozark_County,-67,2,0,,,,,,
2020-07-14,US,MO_Ozark_County,-66,2,0,,,,,,
2020-07-15,US,MO_Ozark_County,-65,2,0,,,,,,
2020-07-16,US,MO_Ozark_County,-64,2,0,,,,,,
2020-07-17,US,MO_Ozark_County,-63,2,0,,,,,,
2020-07-18,US,MO_Ozark_County,-62,2,0,,,,,,
2020-07-19,US,MO_Ozark_County,-61,3,0,,,,,,
2020-07-20,US,MO_Ozark_County,-60,3,0,,,,,,
2020-07-21,US,MO_Ozark_County,-59,3,0,,,,,,
2020-07-22,US,MO_Ozark_County,-58,3,0,,,,,,
2020-07-23,US,MO_Ozark_County,-57,4,0,,,,,,
2020-07-24,US,MO_Ozark_County,-56,4,0,,,,,,
2020-07-25,US,MO_Ozark_County,-55,4,0,,,,,,
2020-07-26,US,MO_Ozark_County,-54,4,0,,,,,,
2020-07-27,US,MO_Ozark_County,-53,4,0,,,,,,
2020-07-28,US,MO_Ozark_County,-52,5,0,,,,,,
2020-07-29,US,MO_Ozark_County,-51,5,0,,,,,,
2020-07-30,US,MO_Ozark_County,-50,6,0,,,,,,
2020-07-31,US,MO_Ozark_County,-49,6,0,,,,,,
2020-08-01,US,MO_Ozark_County,-48,6,0,,,,,,
2020-08-02,US,MO_Ozark_County,-47,7,0,,,,,,
2020-08-03,US,MO_Ozark_County,-46,7,0,,,,,,
2020-08-04,US,MO_Ozark_County,-45,8,0,,,,,,
2020-08-05,US,MO_Ozark_County,-44,8,0,,,,,,
2020-08-06,US,MO_Ozark_County,-43,9,0,,,,,,
2020-08-07,US,MO_Ozark_County,-42,12,0,,,,,,
2020-08-08,US,MO_Ozark_County,-41,12,0,,,,,,
2020-08-09,US,MO_Ozark_County,-40,12,0,,,,,,
2020-08-10,US,MO_Ozark_County,-39,14,0,,,,,,
2020-08-11,US,MO_Ozark_County,-38,15,0,,,,,,
2020-08-12,US,MO_Ozark_County,-37,15,0,,,,,,
2020-08-13,US,MO_Ozark_County,-36,16,0,,,,,,
2020-08-14,US,MO_Ozark_County,-35,16,0,,,,,,
2020-08-15,US,MO_Ozark_County,-34,16,0,,,,,,
2020-08-16,US,MO_Ozark_County,-33,16,0,,,,,,
2020-08-17,US,MO_Ozark_County,-32,16,0,,,,,,
2020-08-18,US,MO_Ozark_County,-31,16,0,,,,,,
2020-08-19,US,MO_Ozark_County,-30,17,0,,,,,,
2020-08-20,US,MO_Ozark_County,-29,17,0,,,,,,
2020-08-21,US,MO_Ozark_County,-28,18,0,,,,,,
2020-08-22,US,MO_Ozark_County,-27,18,0,,,,,,
2020-08-23,US,MO_Ozark_County,-26,18,0,,,,,,
2020-08-24,US,MO_Ozark_County,-25,18,0,,,,,,
2020-08-25,US,MO_Ozark_County,-24,18,0,,,,,,
2020-08-26,US,MO_Ozark_County,-23,18,0,,,,,,
2020-08-27,US,MO_Ozark_County,-22,18,0,,,,,,
2020-08-28,US,MO_Ozark_County,-21,21,0,,,,,,
2020-08-29,US,MO_Ozark_County,-20,23,0,,,,,,
2020-08-30,US,MO_Ozark_County,-19,25,0,,,,,,
2020-08-31,US,MO_Ozark_County,-18,26,0,,,,,,
2020-09-01,US,MO_Ozark_County,-17,26,0,,,,,,
2020-09-02,US,MO_Ozark_County,-16,27,0,,,,,,
2020-09-03,US,MO_Ozark_County,-15,35,0,,,,,,
2020-09-04,US,MO_Ozark_County,-14,41,0,,,,,,
2020-09-05,US,MO_Ozark_County,-13,59,0,,,,,,
