date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-03-30,US,MO_Reynolds_County,-220,2,0,,,,,,
2020-03-31,US,MO_Reynolds_County,-219,2,0,,,,,,
2020-04-01,US,MO_Reynolds_County,-218,2,0,,,,,,
2020-04-02,US,MO_Reynolds_County,-217,2,0,,,,,,
2020-04-03,US,MO_Reynolds_County,-216,2,0,,,,,,
2020-04-04,US,MO_Reynolds_County,-215,2,0,,,,,,
2020-04-05,US,MO_Reynolds_County,-214,2,0,,,,,,
2020-04-06,US,MO_Reynolds_County,-213,2,0,,,,,,
2020-04-07,US,MO_Reynolds_County,-212,2,0,,,,,,
2020-04-08,US,MO_Reynolds_County,-211,2,0,,,,,,
2020-04-09,US,MO_Reynolds_County,-210,2,0,,,,,,
2020-04-10,US,MO_Reynolds_County,-209,2,0,,,,,,
2020-04-11,US,MO_Reynolds_County,-208,2,0,,,,,,
2020-04-12,US,MO_Reynolds_County,-207,2,0,,,,,,
2020-04-13,US,MO_Reynolds_County,-206,2,0,,,,,,
2020-04-14,US,MO_Reynolds_County,-205,2,0,,,,,,
2020-04-15,US,MO_Reynolds_County,-204,2,0,,,,,,
2020-04-16,US,MO_Reynolds_County,-203,2,0,,,,,,
2020-04-17,US,MO_Reynolds_County,-202,2,0,,,,,,
2020-04-18,US,MO_Reynolds_County,-201,2,0,,,,,,
2020-04-19,US,MO_Reynolds_County,-200,2,0,,,,,,
2020-04-20,US,MO_Reynolds_County,-199,2,0,,,,,,
2020-04-21,US,MO_Reynolds_County,-198,2,0,,,,,,
2020-04-22,US,MO_Reynolds_County,-197,2,0,,,,,,
2020-04-23,US,MO_Reynolds_County,-196,2,0,,,,,,
2020-04-24,US,MO_Reynolds_County,-195,2,0,,,,,,
2020-04-25,US,MO_Reynolds_County,-194,2,0,,,,,,
2020-04-26,US,MO_Reynolds_County,-193,2,0,,,,,,
2020-04-27,US,MO_Reynolds_County,-192,2,0,,,,,,
2020-04-28,US,MO_Reynolds_County,-191,2,0,,,,,,
2020-04-29,US,MO_Reynolds_County,-190,2,0,,,,,,
2020-04-30,US,MO_Reynolds_County,-189,2,0,,,,,,
2020-05-01,US,MO_Reynolds_County,-188,2,0,,,,,,
2020-05-02,US,MO_Reynolds_County,-187,2,0,,,,,,
2020-05-03,US,MO_Reynolds_County,-186,2,0,,,,,,
2020-05-04,US,MO_Reynolds_County,-185,2,0,,,,,,
2020-05-05,US,MO_Reynolds_County,-184,2,0,,,,,,
2020-05-06,US,MO_Reynolds_County,-183,2,0,,,,,,
2020-05-07,US,MO_Reynolds_County,-182,2,0,,,,,,
2020-05-08,US,MO_Reynolds_County,-181,2,0,,,,,,
2020-05-09,US,MO_Reynolds_County,-180,2,0,,,,,,
2020-05-10,US,MO_Reynolds_County,-179,2,0,,,,,,
2020-05-11,US,MO_Reynolds_County,-178,2,0,,,,,,
2020-05-12,US,MO_Reynolds_County,-177,2,0,,,,,,
2020-05-13,US,MO_Reynolds_County,-176,2,0,,,,,,
2020-05-14,US,MO_Reynolds_County,-175,2,0,,,,,,
2020-05-15,US,MO_Reynolds_County,-174,2,0,,,,,,
2020-05-16,US,MO_Reynolds_County,-173,2,0,,,,,,
2020-05-17,US,MO_Reynolds_County,-172,2,0,,,,,,
2020-05-18,US,MO_Reynolds_County,-171,2,0,,,,,,
2020-05-19,US,MO_Reynolds_County,-170,2,0,,,,,,
2020-05-20,US,MO_Reynolds_County,-169,2,0,,,,,,
2020-05-21,US,MO_Reynolds_County,-168,2,0,,,,,,
2020-05-22,US,MO_Reynolds_County,-167,2,0,,,,,,
2020-05-23,US,MO_Reynolds_County,-166,2,0,,,,,,
2020-05-24,US,MO_Reynolds_County,-165,2,0,,,,,,
2020-05-25,US,MO_Reynolds_County,-164,2,0,,,,,,
2020-05-26,US,MO_Reynolds_County,-163,2,0,,,,,,
2020-05-27,US,MO_Reynolds_County,-162,2,0,,,,,,
2020-05-28,US,MO_Reynolds_County,-161,2,0,,,,,,
2020-05-29,US,MO_Reynolds_County,-160,2,0,,,,,,
2020-05-30,US,MO_Reynolds_County,-159,2,0,,,,,,
2020-05-31,US,MO_Reynolds_County,-158,2,0,,,,,,
2020-06-01,US,MO_Reynolds_County,-157,2,0,,,,,,
2020-06-02,US,MO_Reynolds_County,-156,2,0,,,,,,
2020-06-03,US,MO_Reynolds_County,-155,2,0,,,,,,
2020-06-04,US,MO_Reynolds_County,-154,2,0,,,,,,
2020-06-05,US,MO_Reynolds_County,-153,2,0,,,,,,
2020-06-06,US,MO_Reynolds_County,-152,2,0,,,,,,
2020-06-07,US,MO_Reynolds_County,-151,2,0,,,,,,
2020-06-08,US,MO_Reynolds_County,-150,2,0,,,,,,
2020-06-09,US,MO_Reynolds_County,-149,2,0,,,,,,
2020-06-10,US,MO_Reynolds_County,-148,2,0,,,,,,
2020-06-11,US,MO_Reynolds_County,-147,2,0,,,,,,
2020-06-12,US,MO_Reynolds_County,-146,2,0,,,,,,
2020-06-13,US,MO_Reynolds_County,-145,2,0,,,,,,
2020-06-14,US,MO_Reynolds_County,-144,2,0,,,,,,
2020-06-15,US,MO_Reynolds_County,-143,2,0,,,,,,
2020-06-16,US,MO_Reynolds_County,-142,2,0,,,,,,
2020-06-17,US,MO_Reynolds_County,-141,2,0,,,,,,
2020-06-18,US,MO_Reynolds_County,-140,3,0,,,,,,
2020-06-19,US,MO_Reynolds_County,-139,3,0,,,,,,
2020-06-20,US,MO_Reynolds_County,-138,3,0,,,,,,
2020-06-21,US,MO_Reynolds_County,-137,3,0,,,,,,
2020-06-22,US,MO_Reynolds_County,-136,3,0,,,,,,
2020-06-23,US,MO_Reynolds_County,-135,3,0,,,,,,
2020-06-24,US,MO_Reynolds_County,-134,3,0,,,,,,
2020-06-25,US,MO_Reynolds_County,-133,3,0,,,,,,
2020-06-26,US,MO_Reynolds_County,-132,3,0,,,,,,
2020-06-27,US,MO_Reynolds_County,-131,3,0,,,,,,
2020-06-28,US,MO_Reynolds_County,-130,3,0,,,,,,
2020-06-29,US,MO_Reynolds_County,-129,2,0,,,,,,
2020-06-30,US,MO_Reynolds_County,-128,2,0,,,,,,
2020-07-01,US,MO_Reynolds_County,-127,2,0,,,,,,
2020-07-02,US,MO_Reynolds_County,-126,2,0,,,,,,
2020-07-03,US,MO_Reynolds_County,-125,2,0,,,,,,
2020-07-04,US,MO_Reynolds_County,-124,2,0,,,,,,
2020-07-05,US,MO_Reynolds_County,-123,2,0,,,,,,
2020-07-06,US,MO_Reynolds_County,-122,2,0,,,,,,
2020-07-07,US,MO_Reynolds_County,-121,2,0,,,,,,
2020-07-08,US,MO_Reynolds_County,-120,2,0,,,,,,
2020-07-09,US,MO_Reynolds_County,-119,5,0,,,,,,
2020-07-10,US,MO_Reynolds_County,-118,5,0,,,,,,
2020-07-11,US,MO_Reynolds_County,-117,6,0,,,,,,
2020-07-12,US,MO_Reynolds_County,-116,10,0,,,,,,
2020-07-13,US,MO_Reynolds_County,-115,10,0,,,,,,
2020-07-14,US,MO_Reynolds_County,-114,10,0,,,,,,
2020-07-15,US,MO_Reynolds_County,-113,10,0,,,,,,
2020-07-16,US,MO_Reynolds_County,-112,11,0,,,,,,
2020-07-17,US,MO_Reynolds_County,-111,11,0,,,,,,
2020-07-18,US,MO_Reynolds_County,-110,11,0,,,,,,
2020-07-19,US,MO_Reynolds_County,-109,11,0,,,,,,
2020-07-20,US,MO_Reynolds_County,-108,11,0,,,,,,
2020-07-21,US,MO_Reynolds_County,-107,11,0,,,,,,
2020-07-22,US,MO_Reynolds_County,-106,11,0,,,,,,
2020-07-23,US,MO_Reynolds_County,-105,11,0,,,,,,
2020-07-24,US,MO_Reynolds_County,-104,11,0,,,,,,
2020-07-25,US,MO_Reynolds_County,-103,11,0,,,,,,
2020-07-26,US,MO_Reynolds_County,-102,12,0,,,,,,
2020-07-27,US,MO_Reynolds_County,-101,12,0,,,,,,
2020-07-28,US,MO_Reynolds_County,-100,14,0,,,,,,
2020-07-29,US,MO_Reynolds_County,-99,15,0,,,,,,
2020-07-30,US,MO_Reynolds_County,-98,16,0,,,,,,
2020-07-31,US,MO_Reynolds_County,-97,17,0,,,,,,
2020-08-01,US,MO_Reynolds_County,-96,17,0,,,,,,
2020-08-02,US,MO_Reynolds_County,-95,17,0,,,,,,
2020-08-03,US,MO_Reynolds_County,-94,17,0,,,,,,
2020-08-04,US,MO_Reynolds_County,-93,17,0,,,,,,
2020-08-05,US,MO_Reynolds_County,-92,17,0,,,,,,
