date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-04-14,US,NC_Tyrrell_County,-121,2,0,,,,,,
2020-04-15,US,NC_Tyrrell_County,-120,3,0,,,,,,
2020-04-16,US,NC_Tyrrell_County,-119,4,0,,,,,,
2020-04-17,US,NC_Tyrrell_County,-118,4,0,,,,,,
2020-04-18,US,NC_Tyrrell_County,-117,4,0,,,,,,
2020-04-19,US,NC_Tyrrell_County,-116,4,0,,,,,,
2020-04-20,US,NC_Tyrrell_County,-115,4,0,,,,,,
2020-04-21,US,NC_Tyrrell_County,-114,4,0,,,,,,
2020-04-22,US,NC_Tyrrell_County,-113,4,0,,,,,,
2020-04-23,US,NC_Tyrrell_County,-112,4,0,,,,,,
2020-04-24,US,NC_Tyrrell_County,-111,4,0,,,,,,
2020-04-25,US,NC_Tyrrell_County,-110,4,0,,,,,,
2020-04-26,US,NC_Tyrrell_County,-109,4,0,,,,,,
2020-04-27,US,NC_Tyrrell_County,-108,4,0,,,,,,
2020-04-28,US,NC_Tyrrell_County,-107,4,0,,,,,,
2020-04-29,US,NC_Tyrrell_County,-106,4,0,,,,,,
2020-04-30,US,NC_Tyrrell_County,-105,4,0,,,,,,
2020-05-01,US,NC_Tyrrell_County,-104,4,0,,,,,,
2020-05-02,US,NC_Tyrrell_County,-103,4,0,,,,,,
2020-05-03,US,NC_Tyrrell_County,-102,4,0,,,,,,
2020-05-04,US,NC_Tyrrell_County,-101,4,0,,,,,,
2020-05-05,US,NC_Tyrrell_County,-100,4,0,,,,,,
2020-05-06,US,NC_Tyrrell_County,-99,4,0,,,,,,
2020-05-07,US,NC_Tyrrell_County,-98,4,0,,,,,,
2020-05-08,US,NC_Tyrrell_County,-97,4,0,,,,,,
2020-05-09,US,NC_Tyrrell_County,-96,4,0,,,,,,
2020-05-10,US,NC_Tyrrell_County,-95,4,0,,,,,,
2020-05-11,US,NC_Tyrrell_County,-94,4,0,,,,,,
2020-05-12,US,NC_Tyrrell_County,-93,4,0,,,,,,
2020-05-13,US,NC_Tyrrell_County,-92,4,0,,,,,,
2020-05-14,US,NC_Tyrrell_County,-91,4,0,,,,,,
2020-05-15,US,NC_Tyrrell_County,-90,4,0,,,,,,
2020-05-16,US,NC_Tyrrell_County,-89,4,0,,,,,,
2020-05-17,US,NC_Tyrrell_County,-88,4,0,,,,,,
2020-05-18,US,NC_Tyrrell_County,-87,4,0,,,,,,
2020-05-19,US,NC_Tyrrell_County,-86,4,0,,,,,,
2020-05-20,US,NC_Tyrrell_County,-85,4,0,,,,,,
2020-05-21,US,NC_Tyrrell_County,-84,4,0,,,,,,
2020-05-22,US,NC_Tyrrell_County,-83,4,0,,,,,,
2020-05-23,US,NC_Tyrrell_County,-82,4,0,,,,,,
2020-05-24,US,NC_Tyrrell_County,-81,4,0,,,,,,
2020-05-25,US,NC_Tyrrell_County,-80,4,0,,,,,,
2020-05-26,US,NC_Tyrrell_County,-79,4,0,,,,,,
2020-05-27,US,NC_Tyrrell_County,-78,4,0,,,,,,
2020-05-28,US,NC_Tyrrell_County,-77,4,0,,,,,,
2020-05-29,US,NC_Tyrrell_County,-76,4,0,,,,,,
2020-05-30,US,NC_Tyrrell_County,-75,4,0,,,,,,
2020-05-31,US,NC_Tyrrell_County,-74,4,0,,,,,,
2020-06-01,US,NC_Tyrrell_County,-73,4,0,,,,,,
2020-06-02,US,NC_Tyrrell_County,-72,4,0,,,,,,
2020-06-03,US,NC_Tyrrell_County,-71,4,0,,,,,,
2020-06-04,US,NC_Tyrrell_County,-70,4,0,,,,,,
2020-06-05,US,NC_Tyrrell_County,-69,4,0,,,,,,
2020-06-06,US,NC_Tyrrell_County,-68,4,0,,,,,,
2020-06-07,US,NC_Tyrrell_County,-67,4,0,,,,,,
2020-06-08,US,NC_Tyrrell_County,-66,4,0,,,,,,
2020-06-09,US,NC_Tyrrell_County,-65,4,0,,,,,,
2020-06-10,US,NC_Tyrrell_County,-64,4,0,,,,,,
2020-06-11,US,NC_Tyrrell_County,-63,4,0,,,,,,
2020-06-12,US,NC_Tyrrell_County,-62,5,0,,,,,,
2020-06-13,US,NC_Tyrrell_County,-61,5,0,,,,,,
2020-06-14,US,NC_Tyrrell_County,-60,5,0,,,,,,
2020-06-15,US,NC_Tyrrell_County,-59,5,0,,,,,,
2020-06-16,US,NC_Tyrrell_County,-58,5,0,,,,,,
2020-06-17,US,NC_Tyrrell_County,-57,5,0,,,,,,
2020-06-18,US,NC_Tyrrell_County,-56,5,0,,,,,,
2020-06-19,US,NC_Tyrrell_County,-55,5,0,,,,,,
2020-06-20,US,NC_Tyrrell_County,-54,5,0,,,,,,
2020-06-21,US,NC_Tyrrell_County,-53,5,0,,,,,,
2020-06-22,US,NC_Tyrrell_County,-52,5,0,,,,,,
2020-06-23,US,NC_Tyrrell_County,-51,5,0,,,,,,
2020-06-24,US,NC_Tyrrell_County,-50,6,0,,,,,,
2020-06-25,US,NC_Tyrrell_County,-49,7,0,,,,,,
2020-06-26,US,NC_Tyrrell_County,-48,8,0,,,,,,
2020-06-27,US,NC_Tyrrell_County,-47,8,0,,,,,,
2020-06-28,US,NC_Tyrrell_County,-46,8,0,,,,,,
2020-06-29,US,NC_Tyrrell_County,-45,9,0,,,,,,
2020-06-30,US,NC_Tyrrell_County,-44,10,0,,,,,,
2020-07-01,US,NC_Tyrrell_County,-43,11,0,,,,,,
2020-07-02,US,NC_Tyrrell_County,-42,11,0,,,,,,
2020-07-03,US,NC_Tyrrell_County,-41,12,0,,,,,,
2020-07-04,US,NC_Tyrrell_County,-40,13,0,,,,,,
2020-07-05,US,NC_Tyrrell_County,-39,13,0,,,,,,
2020-07-06,US,NC_Tyrrell_County,-38,16,0,,,,,,
2020-07-07,US,NC_Tyrrell_County,-37,19,0,,,,,,
2020-07-08,US,NC_Tyrrell_County,-36,30,1,,,,,,
2020-07-09,US,NC_Tyrrell_County,-35,31,1,,,,,,
2020-07-10,US,NC_Tyrrell_County,-34,34,1,,,,,,
2020-07-11,US,NC_Tyrrell_County,-33,38,1,,,,,,
2020-07-12,US,NC_Tyrrell_County,-32,50,1,,,,,,
2020-07-13,US,NC_Tyrrell_County,-31,53,1,,,,,,
2020-07-14,US,NC_Tyrrell_County,-30,58,1,,,,,,
2020-07-15,US,NC_Tyrrell_County,-29,62,1,,,,,,
2020-07-16,US,NC_Tyrrell_County,-28,63,1,,,,,,
2020-07-17,US,NC_Tyrrell_County,-27,63,1,,,,,,
2020-07-18,US,NC_Tyrrell_County,-26,64,1,,,,,,
2020-07-19,US,NC_Tyrrell_County,-25,65,1,,,,,,
2020-07-20,US,NC_Tyrrell_County,-24,66,1,,,,,,
2020-07-21,US,NC_Tyrrell_County,-23,78,1,,,,,,
2020-07-22,US,NC_Tyrrell_County,-22,80,1,,,,,,
2020-07-23,US,NC_Tyrrell_County,-21,80,1,,,,,,
2020-07-24,US,NC_Tyrrell_County,-20,83,1,,,,,,
2020-07-25,US,NC_Tyrrell_County,-19,83,1,,,,,,
2020-07-26,US,NC_Tyrrell_County,-18,87,1,,,,,,
2020-07-27,US,NC_Tyrrell_County,-17,88,1,,,,,,
2020-07-28,US,NC_Tyrrell_County,-16,88,1,,,,,,
2020-07-29,US,NC_Tyrrell_County,-15,89,1,,,,,,
2020-07-30,US,NC_Tyrrell_County,-14,89,1,,,,,,
2020-07-31,US,NC_Tyrrell_County,-13,90,1,,,,,,
2020-08-01,US,NC_Tyrrell_County,-12,90,1,,,,,,
