date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-03-22,US,NY_St._Lawrence_County,-28,1,0,,,,,,
2020-03-23,US,NY_St._Lawrence_County,-27,1,0,,,,,,
2020-03-24,US,NY_St._Lawrence_County,-26,1,0,,,,,,
2020-03-25,US,NY_St._Lawrence_County,-25,1,0,,,,,,
2020-03-26,US,NY_St._Lawrence_County,-24,2,0,,,,,,
2020-03-27,US,NY_St._Lawrence_County,-23,3,0,,,,,,
2020-03-28,US,NY_St._Lawrence_County,-22,8,0,,,,,,
2020-03-29,US,NY_St._Lawrence_County,-21,12,0,,,,,,
2020-03-30,US,NY_St._Lawrence_County,-20,13,0,,,,,,
2020-03-31,US,NY_St._Lawrence_County,-19,30,0,,,,,,
2020-04-01,US,NY_St._Lawrence_County,-18,34,0,,,,,,
2020-04-02,US,NY_St._Lawrence_County,-17,42,0,,,,,,
2020-04-03,US,NY_St._Lawrence_County,-16,42,0,,,,,,
2020-04-04,US,NY_St._Lawrence_County,-15,58,0,,,,,,
2020-04-05,US,NY_St._Lawrence_County,-14,58,0,,,,,,
2020-04-06,US,NY_St._Lawrence_County,-13,63,0,,,,,,
2020-04-07,US,NY_St._Lawrence_County,-12,63,0,,,,,,
2020-04-08,US,NY_St._Lawrence_County,-11,69,0,,,,,,
2020-04-09,US,NY_St._Lawrence_County,-10,76,1,,,,,,
2020-04-10,US,NY_St._Lawrence_County,-9,78,1,,,,,,
2020-04-11,US,NY_St._Lawrence_County,-8,80,1,,,,,,
2020-04-12,US,NY_St._Lawrence_County,-7,85,1,,,,,,
2020-04-13,US,NY_St._Lawrence_County,-6,89,1,,,,,,
2020-04-14,US,NY_St._Lawrence_County,-5,92,1,,,,,,
2020-04-15,US,NY_St._Lawrence_County,-4,92,1,,,,,,
2020-04-16,US,NY_St._Lawrence_County,-3,93,1,,,,,,
2020-04-17,US,NY_St._Lawrence_County,-2,96,1,,,,,,
2020-04-18,US,NY_St._Lawrence_County,-1,98,1,,,,,,
2020-04-19,US,NY_St._Lawrence_County,0,105,1,,,,,,
