date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-04-07,US,OH_Meigs_County,-141,1,0,,,,,,
2020-04-08,US,OH_Meigs_County,-140,1,0,,,,,,
2020-04-09,US,OH_Meigs_County,-139,1,0,,,,,,
2020-04-10,US,OH_Meigs_County,-138,1,0,,,,,,
2020-04-11,US,OH_Meigs_County,-137,1,0,,,,,,
2020-04-12,US,OH_Meigs_County,-136,1,0,,,,,,
2020-04-13,US,OH_Meigs_County,-135,1,0,,,,,,
2020-04-14,US,OH_Meigs_County,-134,1,0,,,,,,
2020-04-15,US,OH_Meigs_County,-133,2,0,,,,,,
2020-04-16,US,OH_Meigs_County,-132,2,0,,,,,,
2020-04-17,US,OH_Meigs_County,-131,2,0,,,,,,
2020-04-18,US,OH_Meigs_County,-130,2,0,,,,,,
2020-04-19,US,OH_Meigs_County,-129,2,0,,,,,,
2020-04-20,US,OH_Meigs_County,-128,2,0,,,,,,
2020-04-21,US,OH_Meigs_County,-127,2,0,,,,,,
2020-04-22,US,OH_Meigs_County,-126,2,0,,,,,,
2020-04-23,US,OH_Meigs_County,-125,2,0,,,,,,
2020-04-24,US,OH_Meigs_County,-124,2,0,,,,,,
2020-04-25,US,OH_Meigs_County,-123,2,0,,,,,,
2020-04-26,US,OH_Meigs_County,-122,2,0,,,,,,
2020-04-27,US,OH_Meigs_County,-121,2,0,,,,,,
2020-04-28,US,OH_Meigs_County,-120,2,0,,,,,,
2020-04-29,US,OH_Meigs_County,-119,2,0,,,,,,
2020-04-30,US,OH_Meigs_County,-118,2,0,,,,,,
2020-05-01,US,OH_Meigs_County,-117,2,0,,,,,,
2020-05-02,US,OH_Meigs_County,-116,2,0,,,,,,
2020-05-03,US,OH_Meigs_County,-115,3,0,,,,,,
2020-05-04,US,OH_Meigs_County,-114,3,0,,,,,,
2020-05-05,US,OH_Meigs_County,-113,3,0,,,,,,
2020-05-06,US,OH_Meigs_County,-112,3,0,,,,,,
2020-05-07,US,OH_Meigs_County,-111,3,0,,,,,,
