date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-04-06,US,OH_Scioto_County,-104,1,0,,,,,,
2020-04-07,US,OH_Scioto_County,-103,1,0,,,,,,
2020-04-08,US,OH_Scioto_County,-102,1,0,,,,,,
2020-04-09,US,OH_Scioto_County,-101,2,0,,,,,,
2020-04-10,US,OH_Scioto_County,-100,3,0,,,,,,
2020-04-11,US,OH_Scioto_County,-99,4,0,,,,,,
2020-04-12,US,OH_Scioto_County,-98,4,0,,,,,,
2020-04-13,US,OH_Scioto_County,-97,4,0,,,,,,
2020-04-14,US,OH_Scioto_County,-96,4,0,,,,,,
2020-04-15,US,OH_Scioto_County,-95,4,0,,,,,,
2020-04-16,US,OH_Scioto_County,-94,5,0,,,,,,
2020-04-17,US,OH_Scioto_County,-93,5,0,,,,,,
2020-04-18,US,OH_Scioto_County,-92,7,0,,,,,,
2020-04-19,US,OH_Scioto_County,-91,9,0,,,,,,
2020-04-20,US,OH_Scioto_County,-90,9,0,,,,,,
2020-04-21,US,OH_Scioto_County,-89,9,0,,,,,,
2020-04-22,US,OH_Scioto_County,-88,9,0,,,,,,
2020-04-23,US,OH_Scioto_County,-87,9,0,,,,,,
2020-04-24,US,OH_Scioto_County,-86,9,0,,,,,,
2020-04-25,US,OH_Scioto_County,-85,9,0,,,,,,
2020-04-26,US,OH_Scioto_County,-84,9,0,,,,,,
2020-04-27,US,OH_Scioto_County,-83,9,0,,,,,,
2020-04-28,US,OH_Scioto_County,-82,9,0,,,,,,
2020-04-29,US,OH_Scioto_County,-81,9,0,,,,,,
2020-04-30,US,OH_Scioto_County,-80,10,0,,,,,,
2020-05-01,US,OH_Scioto_County,-79,11,0,,,,,,
2020-05-02,US,OH_Scioto_County,-78,11,0,,,,,,
2020-05-03,US,OH_Scioto_County,-77,12,0,,,,,,
2020-05-04,US,OH_Scioto_County,-76,12,0,,,,,,
2020-05-05,US,OH_Scioto_County,-75,13,0,,,,,,
2020-05-06,US,OH_Scioto_County,-74,13,0,,,,,,
2020-05-07,US,OH_Scioto_County,-73,15,0,,,,,,
2020-05-08,US,OH_Scioto_County,-72,15,0,,,,,,
2020-05-09,US,OH_Scioto_County,-71,15,0,,,,,,
2020-05-10,US,OH_Scioto_County,-70,15,0,,,,,,
2020-05-11,US,OH_Scioto_County,-69,15,0,,,,,,
2020-05-12,US,OH_Scioto_County,-68,15,0,,,,,,
2020-05-13,US,OH_Scioto_County,-67,15,0,,,,,,
2020-05-14,US,OH_Scioto_County,-66,15,0,,,,,,
2020-05-15,US,OH_Scioto_County,-65,15,0,,,,,,
2020-05-16,US,OH_Scioto_County,-64,15,0,,,,,,
2020-05-17,US,OH_Scioto_County,-63,15,0,,,,,,
2020-05-18,US,OH_Scioto_County,-62,15,0,,,,,,
2020-05-19,US,OH_Scioto_County,-61,14,0,,,,,,
2020-05-20,US,OH_Scioto_County,-60,14,0,,,,,,
2020-05-21,US,OH_Scioto_County,-59,14,0,,,,,,
2020-05-22,US,OH_Scioto_County,-58,14,0,,,,,,
2020-05-23,US,OH_Scioto_County,-57,14,0,,,,,,
2020-05-24,US,OH_Scioto_County,-56,15,0,,,,,,
2020-05-25,US,OH_Scioto_County,-55,15,0,,,,,,
2020-05-26,US,OH_Scioto_County,-54,15,0,,,,,,
2020-05-27,US,OH_Scioto_County,-53,15,0,,,,,,
2020-05-28,US,OH_Scioto_County,-52,15,0,,,,,,
2020-05-29,US,OH_Scioto_County,-51,15,0,,,,,,
2020-05-30,US,OH_Scioto_County,-50,15,0,,,,,,
2020-05-31,US,OH_Scioto_County,-49,16,0,,,,,,
2020-06-01,US,OH_Scioto_County,-48,18,0,,,,,,
2020-06-02,US,OH_Scioto_County,-47,18,0,,,,,,
2020-06-03,US,OH_Scioto_County,-46,18,0,,,,,,
2020-06-04,US,OH_Scioto_County,-45,18,0,,,,,,
2020-06-05,US,OH_Scioto_County,-44,18,0,,,,,,
2020-06-06,US,OH_Scioto_County,-43,18,0,,,,,,
2020-06-07,US,OH_Scioto_County,-42,18,0,,,,,,
2020-06-08,US,OH_Scioto_County,-41,19,0,,,,,,
2020-06-09,US,OH_Scioto_County,-40,19,0,,,,,,
2020-06-10,US,OH_Scioto_County,-39,19,0,,,,,,
2020-06-11,US,OH_Scioto_County,-38,19,0,,,,,,
2020-06-12,US,OH_Scioto_County,-37,19,0,,,,,,
2020-06-13,US,OH_Scioto_County,-36,21,0,,,,,,
2020-06-14,US,OH_Scioto_County,-35,21,0,,,,,,
2020-06-15,US,OH_Scioto_County,-34,21,0,,,,,,
2020-06-16,US,OH_Scioto_County,-33,21,0,,,,,,
2020-06-17,US,OH_Scioto_County,-32,21,0,,,,,,
2020-06-18,US,OH_Scioto_County,-31,21,0,,,,,,
2020-06-19,US,OH_Scioto_County,-30,21,0,,,,,,
2020-06-20,US,OH_Scioto_County,-29,21,0,,,,,,
2020-06-21,US,OH_Scioto_County,-28,21,0,,,,,,
2020-06-22,US,OH_Scioto_County,-27,22,0,,,,,,
2020-06-23,US,OH_Scioto_County,-26,27,0,,,,,,
2020-06-24,US,OH_Scioto_County,-25,28,0,,,,,,
2020-06-25,US,OH_Scioto_County,-24,28,0,,,,,,
2020-06-26,US,OH_Scioto_County,-23,31,0,,,,,,
2020-06-27,US,OH_Scioto_County,-22,33,0,,,,,,
2020-06-28,US,OH_Scioto_County,-21,34,0,,,,,,
2020-06-29,US,OH_Scioto_County,-20,34,0,,,,,,
2020-06-30,US,OH_Scioto_County,-19,35,0,,,,,,
2020-07-01,US,OH_Scioto_County,-18,36,0,,,,,,
2020-07-02,US,OH_Scioto_County,-17,36,0,,,,,,
2020-07-03,US,OH_Scioto_County,-16,38,0,,,,,,
2020-07-04,US,OH_Scioto_County,-15,38,0,,,,,,
2020-07-05,US,OH_Scioto_County,-14,38,0,,,,,,
2020-07-06,US,OH_Scioto_County,-13,41,0,,,,,,
2020-07-07,US,OH_Scioto_County,-12,45,0,,,,,,
2020-07-08,US,OH_Scioto_County,-11,54,0,,,,,,
2020-07-09,US,OH_Scioto_County,-10,56,0,,,,,,
2020-07-10,US,OH_Scioto_County,-9,65,0,,,,,,
2020-07-11,US,OH_Scioto_County,-8,67,0,,,,,,
2020-07-12,US,OH_Scioto_County,-7,71,0,,,,,,
2020-07-13,US,OH_Scioto_County,-6,77,0,,,,,,
2020-07-14,US,OH_Scioto_County,-5,80,0,,,,,,
2020-07-15,US,OH_Scioto_County,-4,87,0,,,,,,
2020-07-16,US,OH_Scioto_County,-3,90,0,,,,,,
2020-07-17,US,OH_Scioto_County,-2,94,0,,,,,,
2020-07-18,US,OH_Scioto_County,-1,99,0,,,,,,
2020-07-19,US,OH_Scioto_County,0,100,0,,,,,,
2020-07-20,US,OH_Scioto_County,1,104,0,,,,,,
2020-07-21,US,OH_Scioto_County,2,106,0,,,,,,
2020-07-22,US,OH_Scioto_County,3,110,0,,,,,,
2020-07-23,US,OH_Scioto_County,4,115,0,,,,,,
