date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-03-25,US,TN_Bedford_County,-27,1,0,,,,,,
2020-03-26,US,TN_Bedford_County,-26,1,0,,,,,,
2020-03-27,US,TN_Bedford_County,-25,1,0,,,,,,
2020-03-28,US,TN_Bedford_County,-24,1,0,,,,,,
2020-03-29,US,TN_Bedford_County,-23,1,0,,,,,,
2020-03-30,US,TN_Bedford_County,-22,1,0,,,,,,
2020-03-31,US,TN_Bedford_County,-21,2,0,,,,,,
2020-04-01,US,TN_Bedford_County,-20,4,0,,,,,,
2020-04-02,US,TN_Bedford_County,-19,6,0,,,,,,
2020-04-03,US,TN_Bedford_County,-18,6,0,,,,,,
2020-04-04,US,TN_Bedford_County,-17,8,0,,,,,,
2020-04-05,US,TN_Bedford_County,-16,8,0,,,,,,
2020-04-06,US,TN_Bedford_County,-15,8,0,,,,,,
2020-04-07,US,TN_Bedford_County,-14,10,0,,,,,,
2020-04-08,US,TN_Bedford_County,-13,12,0,,,,,,
2020-04-09,US,TN_Bedford_County,-12,14,0,,,,,,
2020-04-10,US,TN_Bedford_County,-11,15,1,,,,,,
2020-04-11,US,TN_Bedford_County,-10,17,1,,,,,,
2020-04-12,US,TN_Bedford_County,-9,17,1,,,,,,
2020-04-13,US,TN_Bedford_County,-8,23,1,,,,,,
2020-04-14,US,TN_Bedford_County,-7,25,2,,,,,,
2020-04-15,US,TN_Bedford_County,-6,33,2,,,,,,
2020-04-16,US,TN_Bedford_County,-5,40,2,,,,,,
2020-04-17,US,TN_Bedford_County,-4,48,2,,,,,,
2020-04-18,US,TN_Bedford_County,-3,62,2,,,,,,
2020-04-19,US,TN_Bedford_County,-2,71,2,,,,,,
2020-04-20,US,TN_Bedford_County,-1,76,2,,,,,,
2020-04-21,US,TN_Bedford_County,0,105,2,,,,,,
2020-04-22,US,TN_Bedford_County,1,117,2,,,,,,
2020-04-23,US,TN_Bedford_County,2,130,2,,,,,,
2020-04-24,US,TN_Bedford_County,3,138,2,,,,,,
2020-04-25,US,TN_Bedford_County,4,150,2,,,,,,
2020-04-26,US,TN_Bedford_County,5,159,2,,,,,,
2020-04-27,US,TN_Bedford_County,6,165,2,,,,,,
2020-04-28,US,TN_Bedford_County,7,167,2,,,,,,
2020-04-29,US,TN_Bedford_County,8,169,2,,,,,,
2020-04-30,US,TN_Bedford_County,9,173,2,,,,,,
2020-05-01,US,TN_Bedford_County,10,184,2,,,,,,
2020-05-02,US,TN_Bedford_County,11,193,2,,,,,,
2020-05-03,US,TN_Bedford_County,12,200,3,,,,,,
2020-05-04,US,TN_Bedford_County,13,200,3,,,,,,
2020-05-05,US,TN_Bedford_County,14,201,3,,,,,,
2020-05-06,US,TN_Bedford_County,15,212,3,,,,,,
2020-05-07,US,TN_Bedford_County,16,217,3,,,,,,
2020-05-08,US,TN_Bedford_County,17,222,3,,,,,,
2020-05-09,US,TN_Bedford_County,18,231,3,,,,,,
2020-05-10,US,TN_Bedford_County,19,237,3,,,,,,
2020-05-11,US,TN_Bedford_County,20,238,3,,,,,,
2020-05-12,US,TN_Bedford_County,21,239,3,,,,,,
2020-05-13,US,TN_Bedford_County,22,246,3,,,,,,
2020-05-14,US,TN_Bedford_County,23,248,4,,,,,,
2020-05-15,US,TN_Bedford_County,24,248,4,,,,,,
2020-05-16,US,TN_Bedford_County,25,251,4,,,,,,
2020-05-17,US,TN_Bedford_County,26,252,4,,,,,,
2020-05-18,US,TN_Bedford_County,27,254,4,,,,,,
2020-05-19,US,TN_Bedford_County,28,257,4,,,,,,
2020-05-20,US,TN_Bedford_County,29,257,4,,,,,,
2020-05-21,US,TN_Bedford_County,30,262,4,,,,,,
2020-05-22,US,TN_Bedford_County,31,263,4,,,,,,
2020-05-23,US,TN_Bedford_County,32,264,4,,,,,,
2020-05-24,US,TN_Bedford_County,33,265,4,,,,,,
2020-05-25,US,TN_Bedford_County,34,269,4,,,,,,
2020-05-26,US,TN_Bedford_County,35,269,4,,,,,,
2020-05-27,US,TN_Bedford_County,36,270,4,,,,,,
2020-05-28,US,TN_Bedford_County,37,274,4,,,,,,
2020-05-29,US,TN_Bedford_County,38,283,4,,,,,,
2020-05-30,US,TN_Bedford_County,39,283,4,,,,,,
2020-05-31,US,TN_Bedford_County,40,283,4,,,,,,
2020-06-01,US,TN_Bedford_County,41,283,4,,,,,,
2020-06-02,US,TN_Bedford_County,42,295,4,,,,,,
2020-06-03,US,TN_Bedford_County,43,295,4,,,,,,
2020-06-04,US,TN_Bedford_County,44,297,4,,,,,,
2020-06-05,US,TN_Bedford_County,45,302,4,,,,,,
2020-06-06,US,TN_Bedford_County,46,314,4,,,,,,
2020-06-07,US,TN_Bedford_County,47,325,4,,,,,,
2020-06-08,US,TN_Bedford_County,48,332,4,,,,,,
2020-06-09,US,TN_Bedford_County,49,341,4,,,,,,
2020-06-10,US,TN_Bedford_County,50,346,4,,,,,,
2020-06-11,US,TN_Bedford_County,51,372,4,,,,,,
2020-06-12,US,TN_Bedford_County,52,376,4,,,,,,
2020-06-13,US,TN_Bedford_County,53,379,4,,,,,,
2020-06-14,US,TN_Bedford_County,54,379,4,,,,,,
2020-06-15,US,TN_Bedford_County,55,379,4,,,,,,
2020-06-16,US,TN_Bedford_County,56,392,4,,,,,,
2020-06-17,US,TN_Bedford_County,57,403,4,,,,,,
2020-06-18,US,TN_Bedford_County,58,404,4,,,,,,
2020-06-19,US,TN_Bedford_County,59,416,4,,,,,,
2020-06-20,US,TN_Bedford_County,60,428,4,,,,,,
2020-06-21,US,TN_Bedford_County,61,430,4,,,,,,
2020-06-22,US,TN_Bedford_County,62,432,4,,,,,,
2020-06-23,US,TN_Bedford_County,63,436,4,,,,,,
2020-06-24,US,TN_Bedford_County,64,445,4,,,,,,
2020-06-25,US,TN_Bedford_County,65,451,4,,,,,,
2020-06-26,US,TN_Bedford_County,66,463,4,,,,,,
2020-06-27,US,TN_Bedford_County,67,482,5,,,,,,
2020-06-28,US,TN_Bedford_County,68,482,5,,,,,,
2020-06-29,US,TN_Bedford_County,69,502,5,,,,,,
2020-06-30,US,TN_Bedford_County,70,513,5,,,,,,
2020-07-01,US,TN_Bedford_County,71,520,5,,,,,,
2020-07-02,US,TN_Bedford_County,72,520,5,,,,,,
2020-07-03,US,TN_Bedford_County,73,545,5,,,,,,
2020-07-04,US,TN_Bedford_County,74,559,5,,,,,,
2020-07-05,US,TN_Bedford_County,75,570,5,,,,,,
2020-07-06,US,TN_Bedford_County,76,570,5,,,,,,
2020-07-07,US,TN_Bedford_County,77,584,7,,,,,,
2020-07-08,US,TN_Bedford_County,78,589,8,,,,,,
2020-07-09,US,TN_Bedford_County,79,595,9,,,,,,
2020-07-10,US,TN_Bedford_County,80,598,9,,,,,,
2020-07-11,US,TN_Bedford_County,81,623,9,,,,,,
2020-07-12,US,TN_Bedford_County,82,624,9,,,,,,
2020-07-13,US,TN_Bedford_County,83,630,9,,,,,,
2020-07-14,US,TN_Bedford_County,84,635,9,,,,,,
2020-07-15,US,TN_Bedford_County,85,646,10,,,,,,
2020-07-16,US,TN_Bedford_County,86,654,10,,,,,,
2020-07-17,US,TN_Bedford_County,87,668,10,,,,,,
2020-07-18,US,TN_Bedford_County,88,673,10,,,,,,
2020-07-19,US,TN_Bedford_County,89,679,10,,,,,,
2020-07-20,US,TN_Bedford_County,90,688,10,,,,,,
2020-07-21,US,TN_Bedford_County,91,695,10,,,,,,
2020-07-22,US,TN_Bedford_County,92,696,10,,,,,,
2020-07-23,US,TN_Bedford_County,93,711,10,,,,,,
2020-07-24,US,TN_Bedford_County,94,723,10,,,,,,
2020-07-25,US,TN_Bedford_County,95,741,10,,,,,,
2020-07-26,US,TN_Bedford_County,96,763,10,,,,,,
2020-07-27,US,TN_Bedford_County,97,780,10,,,,,,
2020-07-28,US,TN_Bedford_County,98,785,10,,,,,,
2020-07-29,US,TN_Bedford_County,99,806,10,,,,,,
2020-07-30,US,TN_Bedford_County,100,808,10,,,,,,
2020-07-31,US,TN_Bedford_County,101,823,10,,,,,,
2020-08-01,US,TN_Bedford_County,102,851,10,,,,,,
2020-08-02,US,TN_Bedford_County,103,862,10,,,,,,
2020-08-03,US,TN_Bedford_County,104,871,10,,,,,,
2020-08-04,US,TN_Bedford_County,105,877,11,,,,,,
2020-08-05,US,TN_Bedford_County,106,890,11,,,,,,
2020-08-06,US,TN_Bedford_County,107,901,11,,,,,,
2020-08-07,US,TN_Bedford_County,108,908,11,,,,,,
2020-08-08,US,TN_Bedford_County,109,918,11,,,,,,
2020-08-09,US,TN_Bedford_County,110,928,11,,,,,,
2020-08-10,US,TN_Bedford_County,111,928,11,,,,,,
2020-08-11,US,TN_Bedford_County,112,930,11,,,,,,
2020-08-12,US,TN_Bedford_County,113,940,11,,,,,,
2020-08-13,US,TN_Bedford_County,114,955,11,,,,,,
2020-08-14,US,TN_Bedford_County,115,962,11,,,,,,
2020-08-15,US,TN_Bedford_County,116,964,12,,,,,,
2020-08-16,US,TN_Bedford_County,117,984,12,,,,,,
2020-08-17,US,TN_Bedford_County,118,987,12,,,,,,
2020-08-18,US,TN_Bedford_County,119,989,12,,,,,,
2020-08-19,US,TN_Bedford_County,120,1006,13,,,,,,
2020-08-20,US,TN_Bedford_County,121,1016,13,,,,,,
2020-08-21,US,TN_Bedford_County,122,1023,13,,,,,,
2020-08-22,US,TN_Bedford_County,123,1037,14,,,,,,
2020-08-23,US,TN_Bedford_County,124,1051,14,,,,,,
2020-08-24,US,TN_Bedford_County,125,1057,14,,,,,,
2020-08-25,US,TN_Bedford_County,126,1064,14,,,,,,
2020-08-26,US,TN_Bedford_County,127,1076,14,,,,,,
2020-08-27,US,TN_Bedford_County,128,1094,14,,,,,,
2020-08-28,US,TN_Bedford_County,129,1098,14,,,,,,
2020-08-29,US,TN_Bedford_County,130,1105,14,,,,,,
2020-08-30,US,TN_Bedford_County,131,1107,14,,,,,,
2020-08-31,US,TN_Bedford_County,132,1114,14,,,,,,
2020-09-01,US,TN_Bedford_County,133,1127,14,,,,,,
2020-09-02,US,TN_Bedford_County,134,1137,14,,,,,,
2020-09-03,US,TN_Bedford_County,135,1143,14,,,,,,
2020-09-04,US,TN_Bedford_County,136,1144,14,,,,,,
2020-09-05,US,TN_Bedford_County,137,1149,14,,,,,,
2020-09-06,US,TN_Bedford_County,138,1164,14,,,,,,
2020-09-07,US,TN_Bedford_County,139,1166,14,,,,,,
2020-09-08,US,TN_Bedford_County,140,1169,14,,,,,,
2020-09-09,US,TN_Bedford_County,141,1172,14,,,,,,
2020-09-10,US,TN_Bedford_County,142,1196,14,,,,,,
2020-09-11,US,TN_Bedford_County,143,1215,14,,,,,,
2020-09-12,US,TN_Bedford_County,144,1217,14,,,,,,
2020-09-13,US,TN_Bedford_County,145,1231,14,,,,,,
2020-09-14,US,TN_Bedford_County,146,1241,14,,,,,,
2020-09-15,US,TN_Bedford_County,147,1250,15,,,,,,
2020-09-16,US,TN_Bedford_County,148,1263,15,,,,,,
2020-09-17,US,TN_Bedford_County,149,1267,15,,,,,,
2020-09-18,US,TN_Bedford_County,150,1287,16,,,,,,
2020-09-19,US,TN_Bedford_County,151,1295,16,,,,,,
2020-09-20,US,TN_Bedford_County,152,1305,16,,,,,,
2020-09-21,US,TN_Bedford_County,153,1309,16,,,,,,
2020-09-22,US,TN_Bedford_County,154,1313,17,,,,,,
2020-09-23,US,TN_Bedford_County,155,1317,17,,,,,,
2020-09-24,US,TN_Bedford_County,156,1320,17,,,,,,
2020-09-25,US,TN_Bedford_County,157,1328,17,,,,,,
2020-09-26,US,TN_Bedford_County,158,1345,17,,,,,,
2020-09-27,US,TN_Bedford_County,159,1364,17,,,,,,
2020-09-28,US,TN_Bedford_County,160,1370,17,,,,,,
2020-09-29,US,TN_Bedford_County,161,1373,17,,,,,,
2020-09-30,US,TN_Bedford_County,162,1380,17,,,,,,
2020-10-01,US,TN_Bedford_County,163,1387,17,,,,,,
2020-10-02,US,TN_Bedford_County,164,1392,17,,,,,,
2020-10-03,US,TN_Bedford_County,165,1397,18,,,,,,
2020-10-04,US,TN_Bedford_County,166,1402,18,,,,,,
2020-10-05,US,TN_Bedford_County,167,1412,18,,,,,,
2020-10-06,US,TN_Bedford_County,168,1415,19,,,,,,
2020-10-07,US,TN_Bedford_County,169,1425,19,,,,,,
2020-10-08,US,TN_Bedford_County,170,1435,19,,,,,,
2020-10-09,US,TN_Bedford_County,171,1448,19,,,,,,
2020-10-10,US,TN_Bedford_County,172,1466,19,,,,,,
2020-10-11,US,TN_Bedford_County,173,1483,19,,,,,,
2020-10-12,US,TN_Bedford_County,174,1509,19,,,,,,
2020-10-13,US,TN_Bedford_County,175,1523,19,,,,,,
2020-10-14,US,TN_Bedford_County,176,1536,19,,,,,,
2020-10-15,US,TN_Bedford_County,177,1548,19,,,,,,
2020-10-16,US,TN_Bedford_County,178,1551,20,,,,,,
2020-10-17,US,TN_Bedford_County,179,1562,20,,,,,,
2020-10-18,US,TN_Bedford_County,180,1573,20,,,,,,
2020-10-19,US,TN_Bedford_County,181,1590,20,,,,,,
2020-10-20,US,TN_Bedford_County,182,1596,20,,,,,,
2020-10-21,US,TN_Bedford_County,183,1606,20,,,,,,
2020-10-22,US,TN_Bedford_County,184,1617,20,,,,,,
2020-10-23,US,TN_Bedford_County,185,1650,20,,,,,,
2020-10-24,US,TN_Bedford_County,186,1681,20,,,,,,
2020-10-25,US,TN_Bedford_County,187,1709,20,,,,,,
2020-10-26,US,TN_Bedford_County,188,1745,20,,,,,,
2020-10-27,US,TN_Bedford_County,189,1753,20,,,,,,
2020-10-28,US,TN_Bedford_County,190,1763,20,,,,,,
2020-10-29,US,TN_Bedford_County,191,1789,20,,,,,,
2020-10-30,US,TN_Bedford_County,192,1805,22,,,,,,
2020-10-31,US,TN_Bedford_County,193,1822,23,,,,,,
2020-11-01,US,TN_Bedford_County,194,1830,23,,,,,,
2020-11-02,US,TN_Bedford_County,195,1847,23,,,,,,
2020-11-03,US,TN_Bedford_County,196,1861,23,,,,,,
2020-11-04,US,TN_Bedford_County,197,1914,23,,,,,,
2020-11-05,US,TN_Bedford_County,198,1925,23,,,,,,
2020-11-06,US,TN_Bedford_County,199,1926,23,,,,,,
2020-11-07,US,TN_Bedford_County,200,1972,23,,,,,,
2020-11-08,US,TN_Bedford_County,201,1992,23,,,,,,
2020-11-09,US,TN_Bedford_County,202,2051,23,,,,,,
2020-11-10,US,TN_Bedford_County,203,2071,24,,,,,,
2020-11-11,US,TN_Bedford_County,204,2101,24,,,,,,
2020-11-12,US,TN_Bedford_County,205,2122,24,,,,,,
2020-11-13,US,TN_Bedford_County,206,2153,24,,,,,,
2020-11-14,US,TN_Bedford_County,207,2201,24,,,,,,
2020-11-15,US,TN_Bedford_County,208,2248,24,,,,,,
2020-11-16,US,TN_Bedford_County,209,2333,24,,,,,,
2020-11-17,US,TN_Bedford_County,210,2343,24,,,,,,
2020-11-18,US,TN_Bedford_County,211,2368,28,,,,,,
2020-11-19,US,TN_Bedford_County,212,2381,28,,,,,,
2020-11-20,US,TN_Bedford_County,213,2412,28,,,,,,
2020-11-21,US,TN_Bedford_County,214,2458,28,,,,,,
2020-11-22,US,TN_Bedford_County,215,2503,28,,,,,,
2020-11-23,US,TN_Bedford_County,216,2544,28,,,,,,
2020-11-24,US,TN_Bedford_County,217,2564,28,,,,,,
2020-11-25,US,TN_Bedford_County,218,2595,30,,,,,,
2020-11-26,US,TN_Bedford_County,219,2643,30,,,,,,
2020-11-27,US,TN_Bedford_County,220,2701,30,,,,,,
2020-11-28,US,TN_Bedford_County,221,2756,30,,,,,,
2020-11-29,US,TN_Bedford_County,222,2788,30,,,,,,
2020-11-30,US,TN_Bedford_County,223,2851,32,,,,,,
2020-12-01,US,TN_Bedford_County,224,2922,32,,,,,,
2020-12-02,US,TN_Bedford_County,225,2949,34,,,,,,
2020-12-03,US,TN_Bedford_County,226,2957,34,,,,,,
2020-12-04,US,TN_Bedford_County,227,2981,34,,,,,,
2020-12-05,US,TN_Bedford_County,228,3020,39,,,,,,
2020-12-06,US,TN_Bedford_County,229,3046,40,,,,,,
2020-12-07,US,TN_Bedford_County,230,3171,41,,,,,,
2020-12-08,US,TN_Bedford_County,231,3218,42,,,,,,
2020-12-09,US,TN_Bedford_County,232,3303,43,,,,,,
2020-12-10,US,TN_Bedford_County,233,3375,45,,,,,,
2020-12-11,US,TN_Bedford_County,234,3449,46,,,,,,
2020-12-12,US,TN_Bedford_County,235,3487,46,,,,,,
2020-12-13,US,TN_Bedford_County,236,3579,46,,,,,,
2020-12-14,US,TN_Bedford_County,237,3635,46,,,,,,
2020-12-15,US,TN_Bedford_County,238,3772,46,,,,,,
2020-12-16,US,TN_Bedford_County,239,3893,49,,,,,,
2020-12-17,US,TN_Bedford_County,240,3951,52,,,,,,
2020-12-18,US,TN_Bedford_County,241,4020,54,,,,,,
2020-12-19,US,TN_Bedford_County,242,4038,54,,,,,,
2020-12-20,US,TN_Bedford_County,243,4107,54,,,,,,
2020-12-21,US,TN_Bedford_County,244,4196,54,,,,,,
2020-12-22,US,TN_Bedford_County,245,4217,55,,,,,,
2020-12-23,US,TN_Bedford_County,246,4259,57,,,,,,
2020-12-24,US,TN_Bedford_County,247,4292,57,,,,,,
2020-12-25,US,TN_Bedford_County,248,4379,57,,,,,,
2020-12-26,US,TN_Bedford_County,249,4407,57,,,,,,
2020-12-27,US,TN_Bedford_County,250,4422,59,,,,,,
2020-12-28,US,TN_Bedford_County,251,4430,59,,,,,,
2020-12-29,US,TN_Bedford_County,252,4448,60,,,,,,
2020-12-30,US,TN_Bedford_County,253,4500,60,,,,,,
2020-12-31,US,TN_Bedford_County,254,4548,61,,,,,,
2021-01-01,US,TN_Bedford_County,255,4548,61,,,,,,
2021-01-02,US,TN_Bedford_County,256,4723,63,,,,,,
2021-01-03,US,TN_Bedford_County,257,4761,64,,,,,,
2021-01-04,US,TN_Bedford_County,258,4789,65,,,,,,
2021-01-05,US,TN_Bedford_County,259,4822,69,,,,,,
2021-01-06,US,TN_Bedford_County,260,4867,74,,,,,,
2021-01-07,US,TN_Bedford_County,261,4955,75,,,,,,
2021-01-08,US,TN_Bedford_County,262,4987,75,,,,,,
2021-01-09,US,TN_Bedford_County,263,5020,76,,,,,,
2021-01-10,US,TN_Bedford_County,264,5084,76,,,,,,
2021-01-11,US,TN_Bedford_County,265,5104,79,,,,,,
2021-01-12,US,TN_Bedford_County,266,5138,83,,,,,,
2021-01-13,US,TN_Bedford_County,267,5160,84,,,,,,
2021-01-14,US,TN_Bedford_County,268,5207,85,,,,,,
2021-01-15,US,TN_Bedford_County,269,5238,85,,,,,,
2021-01-16,US,TN_Bedford_County,270,5303,86,,,,,,
2021-01-17,US,TN_Bedford_County,271,5320,86,,,,,,
2021-01-18,US,TN_Bedford_County,272,5325,89,,,,,,
2021-01-19,US,TN_Bedford_County,273,5328,89,,,,,,
2021-01-20,US,TN_Bedford_County,274,5356,90,,,,,,
2021-01-21,US,TN_Bedford_County,275,5386,90,,,,,,
2021-01-22,US,TN_Bedford_County,276,5403,91,,,,,,
2021-01-23,US,TN_Bedford_County,277,5430,91,,,,,,
2021-01-24,US,TN_Bedford_County,278,5449,91,,,,,,
2021-01-25,US,TN_Bedford_County,279,5460,92,,,,,,
2021-01-26,US,TN_Bedford_County,280,5478,95,,,,,,
2021-01-27,US,TN_Bedford_County,281,5486,98,,,,,,
2021-01-28,US,TN_Bedford_County,282,5490,98,,,,,,
2021-01-29,US,TN_Bedford_County,283,5514,98,,,,,,
2021-01-30,US,TN_Bedford_County,284,5525,98,,,,,,
2021-01-31,US,TN_Bedford_County,285,5547,100,,,,,,
2021-02-01,US,TN_Bedford_County,286,5556,101,,,,,,
2021-02-02,US,TN_Bedford_County,287,5576,103,,,,,,
2021-02-03,US,TN_Bedford_County,288,5583,105,,,,,,
2021-02-04,US,TN_Bedford_County,289,5598,106,,,,,,
2021-02-05,US,TN_Bedford_County,290,5614,107,,,,,,
2021-02-06,US,TN_Bedford_County,291,5629,109,,,,,,
2021-02-07,US,TN_Bedford_County,292,5642,109,,,,,,
2021-02-08,US,TN_Bedford_County,293,5642,110,,,,,,
2021-02-09,US,TN_Bedford_County,294,5647,112,,,,,,
2021-02-10,US,TN_Bedford_County,295,5662,115,,,,,,
2021-02-11,US,TN_Bedford_County,296,5672,115,,,,,,
2021-02-12,US,TN_Bedford_County,297,5677,117,,,,,,
2021-02-13,US,TN_Bedford_County,298,5687,117,,,,,,
2021-02-14,US,TN_Bedford_County,299,5700,117,,,,,,
2021-02-15,US,TN_Bedford_County,300,5712,117,,,,,,
2021-02-16,US,TN_Bedford_County,301,5714,117,,,,,,
2021-02-17,US,TN_Bedford_County,302,5714,117,,,,,,
2021-02-18,US,TN_Bedford_County,303,5717,117,,,,,,
2021-02-19,US,TN_Bedford_County,304,5724,117,,,,,,
2021-02-20,US,TN_Bedford_County,305,5730,117,,,,,,
2021-02-21,US,TN_Bedford_County,306,5736,117,,,,,,
2021-02-22,US,TN_Bedford_County,307,5738,117,,,,,,
2021-02-23,US,TN_Bedford_County,308,5744,117,,,,,,
2021-02-24,US,TN_Bedford_County,309,5756,117,,,,,,
2021-02-25,US,TN_Bedford_County,310,5771,117,,,,,,
2021-02-26,US,TN_Bedford_County,311,5776,118,,,,,,
2021-02-27,US,TN_Bedford_County,312,5783,119,,,,,,
2021-02-28,US,TN_Bedford_County,313,5789,119,,,,,,
2021-03-01,US,TN_Bedford_County,314,5794,119,,,,,,
2021-03-02,US,TN_Bedford_County,315,5797,120,,,,,,
2021-03-03,US,TN_Bedford_County,316,5802,120,,,,,,
2021-03-04,US,TN_Bedford_County,317,5816,120,,,,,,
2021-03-05,US,TN_Bedford_County,318,5826,120,,,,,,
2021-03-06,US,TN_Bedford_County,319,5841,120,,,,,,
2021-03-07,US,TN_Bedford_County,320,5848,120,,,,,,
2021-03-08,US,TN_Bedford_County,321,5851,120,,,,,,
2021-03-09,US,TN_Bedford_County,322,5866,121,,,,,,
2021-03-10,US,TN_Bedford_County,323,5879,121,,,,,,
2021-03-11,US,TN_Bedford_County,324,5898,121,,,,,,
2021-03-12,US,TN_Bedford_County,325,5909,122,,,,,,
2021-03-13,US,TN_Bedford_County,326,5909,122,,,,,,
2021-03-14,US,TN_Bedford_County,327,5909,122,,,,,,
2021-03-15,US,TN_Bedford_County,328,5948,122,,,,,,
2021-03-16,US,TN_Bedford_County,329,5966,122,,,,,,
2021-03-17,US,TN_Bedford_County,330,5981,122,,,,,,
2021-03-18,US,TN_Bedford_County,331,5983,122,,,,,,
2021-03-19,US,TN_Bedford_County,332,6030,123,,,,,,
2021-03-20,US,TN_Bedford_County,333,6030,123,,,,,,
2021-03-21,US,TN_Bedford_County,334,6030,123,,,,,,
2021-03-22,US,TN_Bedford_County,335,6073,123,,,,,,
2021-03-23,US,TN_Bedford_County,336,6086,123,,,,,,
2021-03-24,US,TN_Bedford_County,337,6108,124,,,,,,
