date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-03-28,US,TN_Bledsoe_County,-25,2,0,,,,,,
2020-03-29,US,TN_Bledsoe_County,-24,2,0,,,,,,
2020-03-30,US,TN_Bledsoe_County,-23,2,0,,,,,,
2020-03-31,US,TN_Bledsoe_County,-22,2,0,,,,,,
2020-04-01,US,TN_Bledsoe_County,-21,2,0,,,,,,
2020-04-02,US,TN_Bledsoe_County,-20,2,0,,,,,,
2020-04-03,US,TN_Bledsoe_County,-19,2,0,,,,,,
2020-04-04,US,TN_Bledsoe_County,-18,2,0,,,,,,
2020-04-05,US,TN_Bledsoe_County,-17,3,0,,,,,,
2020-04-06,US,TN_Bledsoe_County,-16,3,0,,,,,,
2020-04-07,US,TN_Bledsoe_County,-15,3,0,,,,,,
2020-04-08,US,TN_Bledsoe_County,-14,3,0,,,,,,
2020-04-09,US,TN_Bledsoe_County,-13,3,0,,,,,,
2020-04-10,US,TN_Bledsoe_County,-12,3,0,,,,,,
2020-04-11,US,TN_Bledsoe_County,-11,3,0,,,,,,
2020-04-12,US,TN_Bledsoe_County,-10,3,0,,,,,,
2020-04-13,US,TN_Bledsoe_County,-9,8,0,,,,,,
2020-04-14,US,TN_Bledsoe_County,-8,8,0,,,,,,
2020-04-15,US,TN_Bledsoe_County,-7,8,0,,,,,,
2020-04-16,US,TN_Bledsoe_County,-6,8,0,,,,,,
2020-04-17,US,TN_Bledsoe_County,-5,8,0,,,,,,
2020-04-18,US,TN_Bledsoe_County,-4,9,0,,,,,,
2020-04-19,US,TN_Bledsoe_County,-3,9,0,,,,,,
2020-04-20,US,TN_Bledsoe_County,-2,10,0,,,,,,
2020-04-21,US,TN_Bledsoe_County,-1,11,0,,,,,,
2020-04-22,US,TN_Bledsoe_County,0,162,0,,,,,,
2020-04-23,US,TN_Bledsoe_County,1,351,0,,,,,,
2020-04-24,US,TN_Bledsoe_County,2,585,0,,,,,,
2020-04-25,US,TN_Bledsoe_County,3,586,0,,,,,,
