date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-03-19,US,TN_Wilson_County,-19,2,0,,,,,,
2020-03-20,US,TN_Wilson_County,-18,3,0,,,,,,
2020-03-21,US,TN_Wilson_County,-17,3,0,,,,,,
2020-03-22,US,TN_Wilson_County,-16,3,0,,,,,,
2020-03-23,US,TN_Wilson_County,-15,3,0,,,,,,
2020-03-24,US,TN_Wilson_County,-14,7,0,,,,,,
2020-03-25,US,TN_Wilson_County,-13,10,0,,,,,,
2020-03-26,US,TN_Wilson_County,-12,13,0,,,,,,
2020-03-27,US,TN_Wilson_County,-11,20,0,,,,,,
2020-03-28,US,TN_Wilson_County,-10,20,0,,,,,,
2020-03-29,US,TN_Wilson_County,-9,27,0,,,,,,
2020-03-30,US,TN_Wilson_County,-8,32,0,,,,,,
2020-03-31,US,TN_Wilson_County,-7,32,0,,,,,,
2020-04-01,US,TN_Wilson_County,-6,45,0,,,,,,
2020-04-02,US,TN_Wilson_County,-5,62,0,,,,,,
2020-04-03,US,TN_Wilson_County,-4,71,0,,,,,,
2020-04-04,US,TN_Wilson_County,-3,82,0,,,,,,
2020-04-05,US,TN_Wilson_County,-2,93,0,,,,,,
2020-04-06,US,TN_Wilson_County,-1,97,0,,,,,,
2020-04-07,US,TN_Wilson_County,0,113,0,,,,,,
2020-04-08,US,TN_Wilson_County,1,117,0,,,,,,
2020-04-09,US,TN_Wilson_County,2,123,0,,,,,,
2020-04-10,US,TN_Wilson_County,3,129,1,,,,,,
2020-04-11,US,TN_Wilson_County,4,135,1,,,,,,
2020-04-12,US,TN_Wilson_County,5,135,1,,,,,,
2020-04-13,US,TN_Wilson_County,6,143,1,,,,,,
2020-04-14,US,TN_Wilson_County,7,145,1,,,,,,
2020-04-15,US,TN_Wilson_County,8,155,1,,,,,,
2020-04-16,US,TN_Wilson_County,9,161,1,,,,,,
2020-04-17,US,TN_Wilson_County,10,171,1,,,,,,
2020-04-18,US,TN_Wilson_County,11,173,1,,,,,,
2020-04-19,US,TN_Wilson_County,12,181,1,,,,,,
2020-04-20,US,TN_Wilson_County,13,185,1,,,,,,
2020-04-21,US,TN_Wilson_County,14,187,1,,,,,,
2020-04-22,US,TN_Wilson_County,15,194,1,,,,,,
2020-04-23,US,TN_Wilson_County,16,196,1,,,,,,
2020-04-24,US,TN_Wilson_County,17,197,1,,,,,,
2020-04-25,US,TN_Wilson_County,18,199,3,,,,,,
2020-04-26,US,TN_Wilson_County,19,233,3,,,,,,
2020-04-27,US,TN_Wilson_County,20,246,3,,,,,,
2020-04-28,US,TN_Wilson_County,21,249,3,,,,,,
2020-04-29,US,TN_Wilson_County,22,250,4,,,,,,
2020-04-30,US,TN_Wilson_County,23,253,4,,,,,,
2020-05-01,US,TN_Wilson_County,24,259,5,,,,,,
2020-05-02,US,TN_Wilson_County,25,268,5,,,,,,
2020-05-03,US,TN_Wilson_County,26,273,5,,,,,,
2020-05-04,US,TN_Wilson_County,27,276,5,,,,,,
2020-05-05,US,TN_Wilson_County,28,281,5,,,,,,
2020-05-06,US,TN_Wilson_County,29,287,7,,,,,,
2020-05-07,US,TN_Wilson_County,30,288,7,,,,,,
2020-05-08,US,TN_Wilson_County,31,290,7,,,,,,
2020-05-09,US,TN_Wilson_County,32,297,7,,,,,,
2020-05-10,US,TN_Wilson_County,33,300,7,,,,,,
