date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-03-20,US,TX_Hockley_County,-113,1,0,,,,,,
2020-03-21,US,TX_Hockley_County,-112,2,0,,,,,,
2020-03-22,US,TX_Hockley_County,-111,2,0,,,,,,
2020-03-23,US,TX_Hockley_County,-110,2,0,,,,,,
2020-03-24,US,TX_Hockley_County,-109,3,0,,,,,,
2020-03-25,US,TX_Hockley_County,-108,3,0,,,,,,
2020-03-26,US,TX_Hockley_County,-107,5,0,,,,,,
2020-03-27,US,TX_Hockley_County,-106,5,0,,,,,,
2020-03-28,US,TX_Hockley_County,-105,7,0,,,,,,
2020-03-29,US,TX_Hockley_County,-104,7,0,,,,,,
2020-03-30,US,TX_Hockley_County,-103,7,0,,,,,,
2020-03-31,US,TX_Hockley_County,-102,7,0,,,,,,
2020-04-01,US,TX_Hockley_County,-101,7,0,,,,,,
2020-04-02,US,TX_Hockley_County,-100,7,0,,,,,,
2020-04-03,US,TX_Hockley_County,-99,7,1,,,,,,
2020-04-04,US,TX_Hockley_County,-98,7,1,,,,,,
2020-04-05,US,TX_Hockley_County,-97,10,1,,,,,,
2020-04-06,US,TX_Hockley_County,-96,10,1,,,,,,
2020-04-07,US,TX_Hockley_County,-95,10,1,,,,,,
2020-04-08,US,TX_Hockley_County,-94,10,1,,,,,,
2020-04-09,US,TX_Hockley_County,-93,12,1,,,,,,
2020-04-10,US,TX_Hockley_County,-92,12,1,,,,,,
2020-04-11,US,TX_Hockley_County,-91,13,1,,,,,,
2020-04-12,US,TX_Hockley_County,-90,14,1,,,,,,
2020-04-13,US,TX_Hockley_County,-89,14,1,,,,,,
2020-04-14,US,TX_Hockley_County,-88,14,1,,,,,,
2020-04-15,US,TX_Hockley_County,-87,15,1,,,,,,
2020-04-16,US,TX_Hockley_County,-86,15,1,,,,,,
2020-04-17,US,TX_Hockley_County,-85,15,1,,,,,,
2020-04-18,US,TX_Hockley_County,-84,15,1,,,,,,
