date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-04-23,US,TX_Jim_Hogg_County,-145,1,0,,,,,,
2020-04-24,US,TX_Jim_Hogg_County,-144,1,0,,,,,,
2020-04-25,US,TX_Jim_Hogg_County,-143,1,0,,,,,,
2020-04-26,US,TX_Jim_Hogg_County,-142,1,0,,,,,,
2020-04-27,US,TX_Jim_Hogg_County,-141,1,0,,,,,,
2020-04-28,US,TX_Jim_Hogg_County,-140,3,0,,,,,,
2020-04-29,US,TX_Jim_Hogg_County,-139,3,0,,,,,,
2020-04-30,US,TX_Jim_Hogg_County,-138,3,0,,,,,,
2020-05-01,US,TX_Jim_Hogg_County,-137,3,0,,,,,,
2020-05-02,US,TX_Jim_Hogg_County,-136,3,0,,,,,,
2020-05-03,US,TX_Jim_Hogg_County,-135,3,0,,,,,,
2020-05-04,US,TX_Jim_Hogg_County,-134,3,0,,,,,,
2020-05-05,US,TX_Jim_Hogg_County,-133,3,0,,,,,,
2020-05-06,US,TX_Jim_Hogg_County,-132,3,0,,,,,,
2020-05-07,US,TX_Jim_Hogg_County,-131,3,0,,,,,,
2020-05-08,US,TX_Jim_Hogg_County,-130,3,0,,,,,,
2020-05-09,US,TX_Jim_Hogg_County,-129,3,0,,,,,,
2020-05-10,US,TX_Jim_Hogg_County,-128,3,0,,,,,,
2020-05-11,US,TX_Jim_Hogg_County,-127,3,0,,,,,,
2020-05-12,US,TX_Jim_Hogg_County,-126,3,0,,,,,,
2020-05-13,US,TX_Jim_Hogg_County,-125,3,0,,,,,,
2020-05-14,US,TX_Jim_Hogg_County,-124,3,0,,,,,,
2020-05-15,US,TX_Jim_Hogg_County,-123,3,0,,,,,,
2020-05-16,US,TX_Jim_Hogg_County,-122,4,0,,,,,,
2020-05-17,US,TX_Jim_Hogg_County,-121,4,0,,,,,,
2020-05-18,US,TX_Jim_Hogg_County,-120,4,0,,,,,,
2020-05-19,US,TX_Jim_Hogg_County,-119,4,0,,,,,,
2020-05-20,US,TX_Jim_Hogg_County,-118,4,0,,,,,,
2020-05-21,US,TX_Jim_Hogg_County,-117,4,0,,,,,,
2020-05-22,US,TX_Jim_Hogg_County,-116,4,0,,,,,,
2020-05-23,US,TX_Jim_Hogg_County,-115,4,0,,,,,,
2020-05-24,US,TX_Jim_Hogg_County,-114,4,0,,,,,,
2020-05-25,US,TX_Jim_Hogg_County,-113,4,0,,,,,,
2020-05-26,US,TX_Jim_Hogg_County,-112,4,0,,,,,,
2020-05-27,US,TX_Jim_Hogg_County,-111,4,0,,,,,,
2020-05-28,US,TX_Jim_Hogg_County,-110,4,0,,,,,,
2020-05-29,US,TX_Jim_Hogg_County,-109,4,0,,,,,,
