date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-03-30,US,TX_Moore_County,-20,1,0,,,,,,
2020-03-31,US,TX_Moore_County,-19,1,0,,,,,,
2020-04-01,US,TX_Moore_County,-18,1,0,,,,,,
2020-04-02,US,TX_Moore_County,-17,6,0,,,,,,
2020-04-03,US,TX_Moore_County,-16,6,0,,,,,,
2020-04-04,US,TX_Moore_County,-15,6,0,,,,,,
2020-04-05,US,TX_Moore_County,-14,6,0,,,,,,
2020-04-06,US,TX_Moore_County,-13,6,0,,,,,,
2020-04-07,US,TX_Moore_County,-12,7,0,,,,,,
2020-04-08,US,TX_Moore_County,-11,7,0,,,,,,
2020-04-09,US,TX_Moore_County,-10,15,0,,,,,,
2020-04-10,US,TX_Moore_County,-9,21,0,,,,,,
2020-04-11,US,TX_Moore_County,-8,21,0,,,,,,
2020-04-12,US,TX_Moore_County,-7,22,0,,,,,,
2020-04-13,US,TX_Moore_County,-6,22,0,,,,,,
2020-04-14,US,TX_Moore_County,-5,36,0,,,,,,
2020-04-15,US,TX_Moore_County,-4,52,0,,,,,,
2020-04-16,US,TX_Moore_County,-3,59,0,,,,,,
2020-04-17,US,TX_Moore_County,-2,75,0,,,,,,
2020-04-18,US,TX_Moore_County,-1,99,0,,,,,,
2020-04-19,US,TX_Moore_County,0,106,0,,,,,,
2020-04-20,US,TX_Moore_County,1,121,2,,,,,,
2020-04-21,US,TX_Moore_County,2,139,2,,,,,,
2020-04-22,US,TX_Moore_County,3,162,2,,,,,,
2020-04-23,US,TX_Moore_County,4,172,2,,,,,,
2020-04-24,US,TX_Moore_County,5,186,2,,,,,,
2020-04-25,US,TX_Moore_County,6,192,3,,,,,,
2020-04-26,US,TX_Moore_County,7,252,3,,,,,,
2020-04-27,US,TX_Moore_County,8,272,3,,,,,,
2020-04-28,US,TX_Moore_County,9,294,3,,,,,,
2020-04-29,US,TX_Moore_County,10,295,3,,,,,,
2020-04-30,US,TX_Moore_County,11,327,3,,,,,,
2020-05-01,US,TX_Moore_County,12,350,5,,,,,,
2020-05-02,US,TX_Moore_County,13,363,5,,,,,,
2020-05-03,US,TX_Moore_County,14,399,6,,,,,,
2020-05-04,US,TX_Moore_County,15,399,6,,,,,,
2020-05-05,US,TX_Moore_County,16,434,6,,,,,,
2020-05-06,US,TX_Moore_County,17,448,6,,,,,,
2020-05-07,US,TX_Moore_County,18,454,6,,,,,,
2020-05-08,US,TX_Moore_County,19,487,7,,,,,,
2020-05-09,US,TX_Moore_County,20,494,8,,,,,,
2020-05-10,US,TX_Moore_County,21,527,8,,,,,,
2020-05-11,US,TX_Moore_County,22,527,9,,,,,,
2020-05-12,US,TX_Moore_County,23,535,9,,,,,,
2020-05-13,US,TX_Moore_County,24,535,9,,,,,,
2020-05-14,US,TX_Moore_County,25,535,9,,,,,,
2020-05-15,US,TX_Moore_County,26,540,9,,,,,,
2020-05-16,US,TX_Moore_County,27,544,11,,,,,,
2020-05-17,US,TX_Moore_County,28,552,11,,,,,,
2020-05-18,US,TX_Moore_County,29,567,12,,,,,,
2020-05-19,US,TX_Moore_County,30,575,12,,,,,,
2020-05-20,US,TX_Moore_County,31,579,12,,,,,,
2020-05-21,US,TX_Moore_County,32,579,13,,,,,,
2020-05-22,US,TX_Moore_County,33,579,13,,,,,,
2020-05-23,US,TX_Moore_County,34,579,13,,,,,,
2020-05-24,US,TX_Moore_County,35,579,13,,,,,,
2020-05-25,US,TX_Moore_County,36,579,13,,,,,,
2020-05-26,US,TX_Moore_County,37,579,13,,,,,,
2020-05-27,US,TX_Moore_County,38,579,13,,,,,,
2020-05-28,US,TX_Moore_County,39,579,13,,,,,,
2020-05-29,US,TX_Moore_County,40,602,13,,,,,,
2020-05-30,US,TX_Moore_County,41,604,13,,,,,,
2020-05-31,US,TX_Moore_County,42,686,13,,,,,,
2020-06-01,US,TX_Moore_County,43,689,13,,,,,,
2020-06-02,US,TX_Moore_County,44,838,13,,,,,,
2020-06-03,US,TX_Moore_County,45,840,13,,,,,,
2020-06-04,US,TX_Moore_County,46,844,13,,,,,,
2020-06-05,US,TX_Moore_County,47,851,13,,,,,,
2020-06-06,US,TX_Moore_County,48,852,14,,,,,,
2020-06-07,US,TX_Moore_County,49,852,14,,,,,,
2020-06-08,US,TX_Moore_County,50,852,14,,,,,,
2020-06-09,US,TX_Moore_County,51,864,14,,,,,,
2020-06-10,US,TX_Moore_County,52,864,14,,,,,,
