date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-03-25,US,WV_Ohio_County,-99,2,0,,,,,,
2020-03-26,US,WV_Ohio_County,-98,2,0,,,,,,
2020-03-27,US,WV_Ohio_County,-97,6,0,,,,,,
2020-03-28,US,WV_Ohio_County,-96,6,0,,,,,,
2020-03-29,US,WV_Ohio_County,-95,7,0,,,,,,
2020-03-30,US,WV_Ohio_County,-94,9,0,,,,,,
2020-03-31,US,WV_Ohio_County,-93,10,0,,,,,,
2020-04-01,US,WV_Ohio_County,-92,11,0,,,,,,
2020-04-02,US,WV_Ohio_County,-91,11,0,,,,,,
2020-04-03,US,WV_Ohio_County,-90,11,0,,,,,,
2020-04-04,US,WV_Ohio_County,-89,11,0,,,,,,
2020-04-05,US,WV_Ohio_County,-88,18,0,,,,,,
2020-04-06,US,WV_Ohio_County,-87,18,0,,,,,,
2020-04-07,US,WV_Ohio_County,-86,19,0,,,,,,
2020-04-08,US,WV_Ohio_County,-85,19,0,,,,,,
2020-04-09,US,WV_Ohio_County,-84,20,0,,,,,,
2020-04-10,US,WV_Ohio_County,-83,21,0,,,,,,
2020-04-11,US,WV_Ohio_County,-82,21,0,,,,,,
2020-04-12,US,WV_Ohio_County,-81,25,0,,,,,,
2020-04-13,US,WV_Ohio_County,-80,25,1,,,,,,
2020-04-14,US,WV_Ohio_County,-79,25,1,,,,,,
2020-04-15,US,WV_Ohio_County,-78,25,1,,,,,,
2020-04-16,US,WV_Ohio_County,-77,25,1,,,,,,
2020-04-17,US,WV_Ohio_County,-76,25,1,,,,,,
2020-04-18,US,WV_Ohio_County,-75,25,1,,,,,,
2020-04-19,US,WV_Ohio_County,-74,25,1,,,,,,
2020-04-20,US,WV_Ohio_County,-73,25,1,,,,,,
2020-04-21,US,WV_Ohio_County,-72,25,1,,,,,,
2020-04-22,US,WV_Ohio_County,-71,25,1,,,,,,
2020-04-23,US,WV_Ohio_County,-70,24,1,,,,,,
2020-04-24,US,WV_Ohio_County,-69,25,1,,,,,,
2020-04-25,US,WV_Ohio_County,-68,26,1,,,,,,
2020-04-26,US,WV_Ohio_County,-67,26,1,,,,,,
2020-04-27,US,WV_Ohio_County,-66,26,1,,,,,,
2020-04-28,US,WV_Ohio_County,-65,26,1,,,,,,
2020-04-29,US,WV_Ohio_County,-64,27,1,,,,,,
2020-04-30,US,WV_Ohio_County,-63,27,1,,,,,,
2020-05-01,US,WV_Ohio_County,-62,29,1,,,,,,
2020-05-02,US,WV_Ohio_County,-61,33,1,,,,,,
2020-05-03,US,WV_Ohio_County,-60,33,1,,,,,,
2020-05-04,US,WV_Ohio_County,-59,33,1,,,,,,
2020-05-05,US,WV_Ohio_County,-58,34,1,,,,,,
2020-05-06,US,WV_Ohio_County,-57,34,1,,,,,,
2020-05-07,US,WV_Ohio_County,-56,34,1,,,,,,
2020-05-08,US,WV_Ohio_County,-55,35,1,,,,,,
2020-05-09,US,WV_Ohio_County,-54,36,1,,,,,,
2020-05-10,US,WV_Ohio_County,-53,38,1,,,,,,
2020-05-11,US,WV_Ohio_County,-52,38,1,,,,,,
2020-05-12,US,WV_Ohio_County,-51,38,1,,,,,,
2020-05-13,US,WV_Ohio_County,-50,38,1,,,,,,
2020-05-14,US,WV_Ohio_County,-49,38,1,,,,,,
2020-05-15,US,WV_Ohio_County,-48,38,1,,,,,,
2020-05-16,US,WV_Ohio_County,-47,38,1,,,,,,
2020-05-17,US,WV_Ohio_County,-46,38,1,,,,,,
2020-05-18,US,WV_Ohio_County,-45,38,1,,,,,,
2020-05-19,US,WV_Ohio_County,-44,38,1,,,,,,
2020-05-20,US,WV_Ohio_County,-43,38,1,,,,,,
2020-05-21,US,WV_Ohio_County,-42,38,1,,,,,,
2020-05-22,US,WV_Ohio_County,-41,38,1,,,,,,
2020-05-23,US,WV_Ohio_County,-40,38,1,,,,,,
2020-05-24,US,WV_Ohio_County,-39,39,1,,,,,,
2020-05-25,US,WV_Ohio_County,-38,40,1,,,,,,
2020-05-26,US,WV_Ohio_County,-37,40,1,,,,,,
2020-05-27,US,WV_Ohio_County,-36,41,1,,,,,,
2020-05-28,US,WV_Ohio_County,-35,41,1,,,,,,
2020-05-29,US,WV_Ohio_County,-34,41,1,,,,,,
2020-05-30,US,WV_Ohio_County,-33,41,1,,,,,,
2020-05-31,US,WV_Ohio_County,-32,42,1,,,,,,
2020-06-01,US,WV_Ohio_County,-31,42,1,,,,,,
2020-06-02,US,WV_Ohio_County,-30,42,1,,,,,,
2020-06-03,US,WV_Ohio_County,-29,47,1,,,,,,
2020-06-04,US,WV_Ohio_County,-28,48,1,,,,,,
2020-06-05,US,WV_Ohio_County,-27,48,1,,,,,,
2020-06-06,US,WV_Ohio_County,-26,48,1,,,,,,
2020-06-07,US,WV_Ohio_County,-25,48,1,,,,,,
2020-06-08,US,WV_Ohio_County,-24,50,1,,,,,,
2020-06-09,US,WV_Ohio_County,-23,51,1,,,,,,
